"x","mx_lost_none_to_lost_mom","se_mx_lost_none_to_lost_mom","mx_lost_none_to_lost_dad","se_mx_lost_none_to_lost_dad","mx_lost_none_to_lost_both","se_mx_lost_none_to_lost_both","mx_lost_dad_to_lost_both","se_mx_lost_dad_to_lost_both","mx_lost_mom_to_lost_both","se_mx_lost_mom_to_lost_both","sex","race"
"[20,21)",0.0014254943948617,0.00145516916143615,0.00177939902445489,0.00174757388934391,0,0,0,0,0,0,"all","all"
"[21,22)",0.000806784072289323,0.000783953265860806,0.000786030935305396,0.00078024317185841,0,0,0,0,0,0,"all","all"
"[22,23)",0.00243710153918958,0.00245870195305267,0.00672853715135726,0.00371947647981957,0,0,0,0,0,0,"all","all"
"[23,24)",0.00180151296981022,0.00176763491937364,0,0,0,0,0,0,0,0,"all","all"
"[24,25)",0.00152076090986917,0.00160816570167857,0.0022327114343383,0.00222455665581881,0,0,0,0,0,0,"all","all"
"[25,26)",0.00398111425422406,0.00335619248791112,0.00109245329408732,0.00109747726884711,0,0,0,0,0,0,"all","all"
"[26,27)",0.00209086811070405,0.00208105042077791,0.00215479735920148,0.00183603824448608,0,0,0.0107787459451732,0.010880245741258,0,0,"all","all"
"[27,28)",0.00107125928182971,0.00108069385834222,0,0,0,0,0,0,0,0,"all","all"
"[28,29)",0.000544857472780825,0.000544685286714708,0.00789560358154658,0.00546025453385093,0,0,0,0,0,0,"all","all"
"[29,30)",0,0,0.00210561776237153,0.00259404014910484,0,0,0.019839956787787,0.0184762534624302,0,0,"all","all"
"[30,31)",0.00255892595755407,0.00249401425796245,0.0069529262465309,0.00414781423970224,0,0,0,0,0,0,"all","all"
"[31,32)",0.00487817353706506,0.00479896818964348,0.00407608721024267,0.00297434372234693,0,0,0,0,0,0,"all","all"
"[32,33)",0.00248729530709654,0.00164438143779752,0.00757308713814089,0.00448242342012154,0,0,0.0322535510985488,0.0315652736244007,0,0,"all","all"
"[33,34)",0.00307156050328021,0.00198527795212078,0.00533537498507451,0.00278504179699083,0,0,0.00733575335389739,0.00817847424723671,0,0,"all","all"
"[34,35)",0.00218321794736914,0.00217533420317817,0.0172318913943971,0.00900350525630572,0,0,0,0,0,0,"all","all"
"[35,36)",0.0121457904921714,0.00683126057885642,0.0105785213803755,0.00610603946574506,0,0,0,0,0,0,"all","all"
"[36,37)",0.0033603629709464,0.00230655051966407,0.0175786090155163,0.00651198892723631,0.0014543694647545,0.00144953613525064,0.0111346932224949,0.0114406195677984,0,0,"all","all"
"[37,38)",0.00363494839336512,0.00275750880132701,0.00762917295672138,0.00422648161337904,0,0,0,0,0,0,"all","all"
"[38,39)",0.00883165367359123,0.00414118922165618,0.0164941983373354,0.0075630945423802,0,0,0.016711751161962,0.0182662271679296,0.0149982774071595,0.0150510542352644,"all","all"
"[39,40)",0.00114735151960897,0.00116523691327011,0.00644805301324324,0.00392711387155356,0.00170175652555629,0.00160709512439701,0,0,0.0666423835975613,0.0475585568008369,"all","all"
"[40,41)",0.00320745680153683,0.00245643413336229,0.00543104858645719,0.00413682042093485,0,0,0.0171039301231568,0.0167514473401144,0.0647017912951482,0.0434073199753702,"all","all"
"[41,42)",0.00344712674562474,0.00349913874110305,0.0118086620022338,0.00534835914254595,0,0,0.00566752636200758,0.00573922363100784,0.0161551886542565,0.0196210291876504,"all","all"
"[42,43)",0.0102355792502525,0.00467915045760227,0.0174349240830552,0.00754419089446825,0,0,0.00651406587963179,0.00660883525932464,0.0276009513432678,0.0275447930217258,"all","all"
"[43,44)",0.00246203054146341,0.00245620974252019,0.00623792161242591,0.00373058133638265,0,0,0,0,0.0369162043451773,0.0259782643841771,"all","all"
"[44,45)",0,0,0.0126282027101973,0.00726853580329628,0,0,0.0134720348704423,0.00975386263438821,0.0337666093437719,0.0252158569013539,"all","all"
"[45,46)",0.0115610713412038,0.00585008273932315,0.0144965850305051,0.0059033775904863,0,0,0,0,0,0,"all","all"
"[46,47)",0,0,0.0188036963328386,0.00835490740272483,0.00441841844759259,0.00446639007538788,0.0393893951701595,0.019814036157045,0,0,"all","all"
"[47,48)",0.00730278075253562,0.00433504088562028,0.0143142440372294,0.00513615190176584,0,0,0.0246601166093726,0.017232463652274,0.0215322402085325,0.0214194770572375,"all","all"
"[48,49)",0.0142983020287448,0.0085808023042572,0.0347560001984674,0.0111639250617133,0,0,0.0653241965677631,0.0299209863599687,0.0259705416651181,0.0169823313098519,"all","all"
"[49,50)",0.0154199143005577,0.00792559262569821,0.0135055976963046,0.00582070608834197,0,0,0.0243728900991859,0.0151488174428491,0.0713181572931635,0.0435060093479174,"all","all"
"[50,51)",0.0112545011553238,0.0077671274004552,0.0241291507110691,0.0107313596032432,0.00406337670993019,0.00406664402691195,0.0518693474474797,0.0207585176612829,0.0180645676278713,0.01218783097889,"all","all"
"[51,52)",0.00554315644411959,0.00554567490438473,0.0380336527074297,0.0147066219893327,0,0,0.0459438190324327,0.0187884860131263,0.0852658108502948,0.0348279744252692,"all","all"
"[52,53)",0.00775366628888221,0.00567574479438887,0.0402037850090473,0.0160580046636504,0.00187775352007923,0.00200236499106147,0.0500600417802945,0.02001162469523,0.0239879939397755,0.0185345102557435,"all","all"
"[53,54)",0.00162169705775698,0.00165127373131728,0.0276377442244779,0.0132242752844263,0,0,0.070777505550831,0.0228897838925003,0.0307880688056264,0.0224174738601606,"all","all"
