"race","sex","x","lx","dx","Lx"
"all","female","[52,53)",94241.078125,386.131774902344,94048.015625
"all","female","[53,54)",93854.9453125,419.956909179688,93644.96875
"all","female","[54,55)",93434.9921875,456.460144042969,93206.765625
"all","female","[55,56)",92978.53125,492.820159912109,92732.125
"all","female","[56,57)",92485.7109375,529.481018066406,92220.96875
"all","female","[57,58)",91956.2265625,569.368408203125,91671.546875
"all","female","[58,59)",91386.859375,613.858276367188,91079.9296875
"all","female","[59,60)",90773,662.256958007812,90441.875
"all","female","[60,Inf)",90110.7421875,90110.7440795898,2142949.53076172
"all","male","[0,1)",1e+05,584.863464355469,99490.578125
"all","male","[1,2)",99415.1328125,40.0772361755371,99395.09375
"all","male","[2,3)",99375.0546875,25.7292709350586,99362.1875
"all","male","[3,4)",99349.328125,20.6363735198975,99339.015625
"all","male","[4,5)",99328.6953125,15.3626165390015,99321.015625
"all","male","[5,6)",99313.3359375,14.3484239578247,99306.15625
"all","male","[6,7)",99298.984375,13.1023721694946,99292.4375
"all","male","[7,8)",99285.8828125,12.0371255874634,99279.859375
"all","male","[8,9)",99273.84375,10.78493309021,99268.453125
"all","male","[9,10)",99263.0625,9.53950309753418,99258.296875
"all","male","[10,11)",99253.5234375,9.07473278045654,99248.984375
"all","male","[11,12)",99244.4453125,10.6589212417603,99239.1171875
"all","male","[12,13)",99233.7890625,15.7652816772461,99225.90625
"all","male","[13,14)",99218.0234375,25.2566013336182,99205.390625
"all","male","[14,15)",99192.765625,38.1969337463379,99173.671875
"all","male","[15,16)",99154.5703125,52.4690628051758,99128.3359375
"all","male","[16,17)",99102.1015625,66.9576568603516,99068.625
"all","male","[17,18)",99035.140625,82.2858200073242,98994
"all","male","[18,19)",98952.8515625,98.0575637817383,98903.828125
"all","male","[19,20)",98854.796875,113.865478515625,98797.859375
"all","male","[20,21)",98740.9296875,130.308792114258,98675.7734375
"all","male","[21,22)",98610.6171875,146.288513183594,98537.46875
"all","male","[22,23)",98464.328125,159.496704101562,98384.578125
"all","male","[23,24)",98304.828125,168.807632446289,98220.421875
"all","male","[24,25)",98136.0234375,175.180969238281,98048.4375
"all","male","[25,26)",97960.84375,180.266937255859,97870.7109375
"all","male","[26,27)",97780.578125,185.688934326172,97687.734375
"all","male","[27,28)",97594.890625,191.894027709961,97498.9453125
"all","male","[28,29)",97403,199.700378417969,97303.1484375
"all","male","[29,30)",97203.296875,208.812530517578,97098.890625
