"x","mx_lost_none_to_lost_mom","se_mx_lost_none_to_lost_mom","mx_lost_none_to_lost_dad","se_mx_lost_none_to_lost_dad","mx_lost_none_to_lost_both","se_mx_lost_none_to_lost_both","mx_lost_dad_to_lost_both","se_mx_lost_dad_to_lost_both","mx_lost_mom_to_lost_both","se_mx_lost_mom_to_lost_both","sex","race"
"[20,25)",0.00451429774598811,0.000625005784102367,0.00709512405250305,0.00102653521678889,0.00046580923129657,0.00034748379352956,0.0123118955252042,0.00324425425529773,0.0161897127725237,0.0052406143751677,"all","non-hispanic black"
"[20,25)",0.00225821672505332,0.000157196715414941,0.00613313393328152,0.000249886444597655,9.41396740829795e-05,3.34741232370409e-05,0.00603203700693683,0.000934692812155433,0.0158760667608746,0.00276618531707548,"all","non-hispanic white"
"[25,30)",0.00450815099673431,0.000581705393587033,0.00703874200588988,0.000655041373822655,0,0,0.00890700012405194,0.00184052798110887,0.0130146196687978,0.00381254925714079,"all","hispanic"
"[25,30)",0.00347299839234189,0.00063260709059091,0.00949219341928088,0.000961178305399269,0.000447378627968859,0.000229082885992538,0.00886862643706178,0.00234850145867733,0.0169124284096129,0.00443321912793997,"all","non-hispanic black"
"[25,30)",0.00320422759229824,0.00020782395232504,0.00730363930095834,0.00027462868235541,0.000129444786506092,3.87769524622125e-05,0.00675817816096941,0.000795046687872446,0.0159099971369439,0.00208569011872846,"all","non-hispanic white"
"[30,35)",0.00538191492078173,0.000726064920275945,0.00914144887244414,0.000905740944720264,0.000227063810991064,0.000139573570577092,0.00872346556158397,0.00230163504516388,0.0273776151535369,0.00598716502644275,"all","hispanic"
"[30,35)",0.00542372059198534,0.000841701236072365,0.0148782417672841,0.00166706476783653,0.000503072156091149,0.000322402267492187,0.00982445384276778,0.0019665668825964,0.0388038793235103,0.00675649344665821,"all","non-hispanic black"
"[30,35)",0.00504103573863648,0.000279678594139489,0.0106271145135021,0.000352244133024502,0.000198117405972568,4.8062300766148e-05,0.0121897189823499,0.00101017492472988,0.0236249821575748,0.00241579096346067,"all","non-hispanic white"
"[35,40)",0.00639591725673568,0.000772472895776658,0.0162091658863335,0.00131550644654523,0.000434510934090044,0.000190560442086734,0.0136853636231021,0.0022734392995378,0.0324378152520625,0.00590749737320352,"all","hispanic"
"[35,40)",0.00843531972873164,0.00116259011665403,0.022263322191726,0.0019348413618635,0.000706892358174812,0.000279235649746123,0.0121752745246726,0.00197800411006111,0.0364136024488764,0.00666168248587545,"all","non-hispanic black"
"[35,40)",0.00661222063340466,0.000375067007816172,0.0150197353901836,0.000532407255237796,0.000454876748818817,0.000104007299082427,0.0138073244344771,0.000955221882285501,0.0268752786260357,0.00208292380314671,"all","non-hispanic white"
"[40,45)",0.00972157452406793,0.0011367558694523,0.0194351227827002,0.00193868853311334,0.0003532910404979,0.000192777227610009,0.018133034045414,0.00302138559666892,0.0436346567405824,0.00638453735937805,"all","hispanic"
"[40,45)",0.0110531233754768,0.00163320072354109,0.0244399145421476,0.00242490854673402,0.00157664278951453,0.000804694252129658,0.0216682498833447,0.00275756973641921,0.0401213596259097,0.00659263195906547,"all","non-hispanic black"
"[40,45)",0.0108090624355952,0.000588234624708311,0.0231850689737914,0.000754339025760801,0.000673245883222005,0.000118028270014332,0.023118812184942,0.00132219444583176,0.0387058507514885,0.00250348266350151,"all","non-hispanic white"
"[45,50)",0.0121911970807254,0.00190608944124259,0.028568236955079,0.00267296605549888,0.000900428081130733,0.000490764105992473,0.0238158143028442,0.00319796957301999,0.0459095464873852,0.00750463251083503,"all","hispanic"
"[45,50)",0.0159694479578551,0.00258884525894029,0.0308329721046911,0.00305158575576437,0.00144700275525941,0.000592638979028158,0.0253976378372967,0.00329356725437563,0.0606699548073837,0.00885192726580664,"all","non-hispanic black"
"[45,50)",0.013171552801309,0.000680600257066389,0.0315161574682825,0.000997777400311515,0.0015544537102193,0.000221150182418661,0.0316227970542388,0.0013132334372498,0.0560839920964723,0.00285038544789363,"all","non-hispanic white"
"[50,55)",0.0209485653218021,0.00316508793797861,0.0430498892538216,0.00479975019079709,0.00518646356634536,0.00154156895584384,0.0458431968596668,0.00445208147024467,0.0742052341672441,0.00971492707608797,"all","hispanic"
"[50,55)",0.0178226603474288,0.00358654807457576,0.0536038170122394,0.00561181573960023,0.00429822519209332,0.00184146016913564,0.0522547165772509,0.00547458371091173,0.0946199292300822,0.013484066508081,"all","non-hispanic black"
"[50,55)",0.0216930769587984,0.000965615428431748,0.0493752050022361,0.00156277082957106,0.00357400647443804,0.000428919773529601,0.0480035711596501,0.00147121552317243,0.0802085659498072,0.00390992539629642,"all","non-hispanic white"
"[55,60)",0.0258308993995112,0.00472341067431464,0.0585067751479439,0.00638197058890899,0.00488253077418776,0.00225939005155538,0.0426192106964963,0.00499983589076292,0.0858823881948834,0.0133205056354924,"all","hispanic"
"[55,60)",0.0358934303143147,0.00793269567925208,0.081470881047018,0.0113486887120586,0.00994700689608684,0.00506002349429539,0.0580199422689563,0.00595419818664769,0.0918285259156437,0.0139567105867757,"all","non-hispanic black"
"[55,60)",0.0349436824970975,0.00181152315315494,0.072154787729521,0.002461776635714,0.00476528107213651,0.000707610092807334,0.0666679986335295,0.00191834331259485,0.108731785450958,0.00410090604463068,"all","non-hispanic white"
"[60,Inf)",0.0449526658375229,0.00859413759565445,0.0710783007839316,0.0111631609664906,0.0185874443924038,0.00523046657783044,0.102225368211316,0.00742615496677981,0.140114787236431,0.015353268868035,"all","hispanic"
"[60,Inf)",0.0691287327332148,0.0106913535346652,0.0837021080415335,0.0142442987022215,0.00960466492042069,0.00446749602501474,0.108983999135605,0.00694960083834126,0.141747840300837,0.0165226310927463,"all","non-hispanic black"
"[60,Inf)",0.0556148706602526,0.00274000416769947,0.114515796362242,0.00423584511269665,0.0171365654063525,0.00167099331481369,0.128119275176162,0.00212203187234752,0.174879821878197,0.00478542000262849,"all","non-hispanic white"
"[0,5)",0.00108541526321344,0.000224465828252024,0.00248628025850271,0.000409507962474087,7.64282717845612e-05,5.6822202418952e-05,0,0,0.0314859723532864,0.03063082115971,"female","hispanic"
"[0,5)",0.000404178750768077,0.000118369389323757,0.00210789784436829,0.000382378049296545,0.000282075064006743,0.000194010891487138,0,0,0,0,"male","hispanic"
"[0,5)",0.000675855701100835,0.000267360265333287,0.0029618271427015,0.00051064645961224,0.00022126963682727,0.000131852905133522,0,0,0,0,"female","non-hispanic black"
"[0,5)",0.00116916237958021,0.00035306124125461,0.0029373916016546,0.000601589581079098,3.67020385101143e-05,3.80626396354098e-05,0,0,0,0,"male","non-hispanic black"
"[0,5)",0.000706453311701533,0.00011218666508778,0.00161253168822914,0.000144669291125629,0.000111311188289791,4.36777739545154e-05,0,0,0.00709463975470765,0.00657303247716933,"female","non-hispanic white"
"[0,5)",0.00073548345312668,0.000118743946687315,0.00150293953385063,0.000173978005129218,7.54320567028201e-05,4.18534003885982e-05,0.00374364842408588,0.0034596635098136,0,0,"male","non-hispanic white"
"[5,10)",0.00105894024369809,0.000236281379624762,0.0031217142399551,0.000536292227844693,0,0,0,0,0,0,"female","hispanic"
"[5,10)",0.000974804239441244,0.0002577380484217,0.00240041641384943,0.000418228959931603,0,0,0.00329176746059981,0.00327276143615615,0.0213723903646156,0.0167191403563407,"male","hispanic"
