"x","pr_lost_none","se_pr_lost_none","pr_lost_mom","se_pr_lost_mom","pr_lost_dad","se_pr_lost_dad","pr_lost_both","se_pr_lost_both","sex","race"
"[38,39)",0.685830826868687,0.00314605345609984,0.0686250671568096,0.00175478913129176,0.192515787203253,0.00244315619261234,0.053028318771258,0.00160422779278965,"all","all"
"[39,40)",0.664452299425475,0.00322855301023907,0.0717245491080845,0.00180945338036686,0.204904445258813,0.00261268632082559,0.0589187062076382,0.00170696319927446,"all","all"
"[40,41)",0.647503971477195,0.00331552152137975,0.0744819108968005,0.0018371447028058,0.212933209856592,0.00279642232251659,0.0650809077694246,0.00182384230844276,"all","all"
"[41,42)",0.612509007537899,0.00335532714686799,0.0803684314908407,0.00198661070871139,0.225962789506023,0.00290341986546272,0.0811597714652485,0.00200839781944706,"all","all"
"[42,43)",0.594572536304462,0.00342774293659028,0.0826863859772745,0.002025370784495,0.234278411870757,0.00294110933955115,0.0884626658475191,0.00225743279381453,"all","all"
"[43,44)",0.570894429885717,0.00358151289717157,0.0867904770681144,0.00208658841724576,0.2434000199864,0.00312886231105031,0.0989150730597819,0.00233454050590018,"all","all"
"[44,45)",0.550259773746724,0.00367298090255579,0.0891850901725647,0.00210950727838502,0.252352070355777,0.00331072320770612,0.108203065724947,0.00249410498083496,"all","all"
"[45,46)",0.526725678807886,0.00374523530453822,0.092761809493,0.00228017855297653,0.262413789920485,0.00356518165981026,0.11809872177864,0.00264900854045527,"all","all"
"[46,47)",0.491247036760562,0.00391471173365542,0.0952154584927069,0.00241752877901847,0.274368198482969,0.00366009906247849,0.139169306263771,0.00277570338045619,"all","all"
"[47,48)",0.472125404452606,0.00394972133413823,0.0955189976331512,0.00252049307575046,0.280719277602929,0.00369013135480812,0.151636320311326,0.00289004099231555,"all","all"
"[48,49)",0.452772779003398,0.00410115487252347,0.0950038368503279,0.00249527347903817,0.286958818154618,0.00376434402126849,0.165264565991667,0.00316577023378605,"all","all"
"[49,50)",0.423735072980151,0.00406796805974598,0.0978950327090164,0.00239088067153504,0.295241171990738,0.00385942075129788,0.183128722320105,0.00319021906261157,"all","all"
"[50,51)",0.399587562426864,0.00395806609300664,0.0981641408217784,0.00235135435575346,0.302725292949263,0.00386737947881268,0.199523003802107,0.00325490138447464,"all","all"
"[51,52)",0.354338070468427,0.00382108799883225,0.0978225671162508,0.00243983665885312,0.308043993190874,0.00392267449789469,0.239795369224461,0.00360490115439404,"all","all"
"[52,53)",0.333478981612592,0.00380649316660426,0.0966813659475576,0.0025612104984074,0.310073796579837,0.00382576095233282,0.259765855860024,0.00385052699112285,"all","all"
"[53,54)",0.306639736255564,0.00383214821025617,0.0971546244252253,0.00251100921265771,0.313044206152589,0.00377175461031436,0.28316143316663,0.00378293196228364,"all","all"
"[54,55)",0.283102211004093,0.00381896959687904,0.0948472822164747,0.00256431320178563,0.316670033512215,0.00369330808317149,0.305380473267228,0.00383751544510401,"all","all"
"[55,56)",0.261034715406644,0.0038909662294929,0.0924663403920411,0.00262896079566556,0.315855113077514,0.00382161300062313,0.330643831123806,0.0040581771563265,"all","all"
"[56,57)",0.227078717153162,0.00375786375115188,0.0919757870543799,0.00274594896260944,0.313145344085781,0.00390061849543003,0.367800151706679,0.00414337951903693,"all","all"
"[57,58)",0.20325021792969,0.0035758338156934,0.0907791899692112,0.00284767797416814,0.310396381595839,0.00382343500658358,0.395574210505254,0.0044120943840121,"all","all"
"[58,59)",0.18125476123709,0.00358191689847851,0.0881133010564978,0.00259990584951169,0.308067154423406,0.00404337446748655,0.422564783282999,0.00451852857491787,"all","all"
"[59,60)",0.156204471741343,0.00334826815415022,0.0852385021206847,0.00265181709722395,0.300837154307412,0.00418332463158711,0.457719871830557,0.00453918362372079,"all","all"
"[60,Inf)",0.0527678409918403,0.00153741761660805,0.0432508120365423,0.00142127612591043,0.166216487102716,0.0027094747535029,0.737764859868921,0.00312647267667002,"all","all"
"[0,1)",1,0,0,0,0,0,0,0,"female","all"
"[0,1)",1,0,0,0,0,0,0,0,"male","all"
"[1,2)",0.99811970404773,0.000276943984260257,0.000413766896327328,0.000125609471270159,0.00136243123384026,0.00023267134078344,0.000104097822102741,6.18560679069973e-05,"female","all"
"[1,2)",0.997807759988569,0.000378283758950462,0.000513405764689067,0.000171315385916013,0.00164665007301659,0.000349072218467303,3.21841737249417e-05,3.0899339246194e-05,"male","all"
"[2,3)",0.994789454050545,0.000475746482804024,0.0012980704804175,0.000257628939144144,0.00351908108757714,0.000363716170380069,0.00039339438146052,0.000131211094597233,"female","all"
