"sex","race","x","lx","dx","Lx","pr_lost_none","pr_lost_mom","pr_lost_dad","pr_lost_both","mx_lost_none_to_lost_mom","mx_lost_none_to_lost_dad","mx_lost_none_to_lost_both","mx_lost_dad_to_lost_both","mx_lost_mom_to_lost_both","Lx_lost_mom","Lx_lost_dad","Lx_lost_both","Lx_lost_none","dx_lost_mom_to_dead","dx_lost_dad_to_dead","dx_lost_both_to_dead","dx_lost_none_to_dead","dx_lost_none_to_lost_mom","dx_lost_none_to_lost_dad","dx_lost_none_to_lost_both","dx_lost_mom_to_lost_both","dx_lost_dad_to_lost_both","ex_lost_none","ex_lost_mom","ex_lost_dad","ex_lost_both","ex","lx_lost_mom","lx_lost_dad","lx_lost_both","lx_lost_none"
"female","all","[35,40)",97933.4453125,718.302093505859,487945.765625,0.76415477459015,0.0633918670877239,0.147166939838176,0.0252864184839501,0.0633918670877239,0.147166939838176,0.0252864184839501,0.146627579363908,0.285147805022825,30931.7931205177,71809.4851340271,12338.4008270652,372866.08654339,45.5345108403572,105.710320980613,18.1632873342866,548.893974350603,23601.881985811,54792.7818795264,9414.56834007016,8807.14884791681,10513.7509320918,13.4378569762762,2.64466121833935,8.20731896633841,21.8754613176206,46.1652984785745,48831.7321681604,112351.198619851,34206.1497459702,-97455.6629152299
"female","all","[40,45)",97215.140625,948.66537475586,483822.8671875,0.697894449323268,0.0611549503694089,0.186763891019033,0.0541867092882898,0.0611549503694089,0.186763891019033,0.0541867092882898,0.224887214305243,0.469793043112962,29588.1634304367,90360.6412399224,26216.7690513159,337657.293465825,58.0155839103713,177.176436664434,51.4050548737623,662.068299307293,20608.9262697862,62938.5395069341,18260.6622976399,13873.0580203953,20281.1081759996,9.7016734090637,2.34602336847475,7.5292956767054,21.9101765436328,41.4871689978767,63580.9307952142,156524.519246305,62923.4545787147,-185813.789094988
"female","all","[45,50)",96266.4765625,1338.21409606934,478180.1875,0.557631209057879,0.0925680523342409,0.251977770282756,0.097822968325124,0.0925680523342409,0.251977770282756,0.097822968325124,0.279653407006615,0.513800325174696,44264.2086216971,120490.77743964,46777.0053355144,266648.196103148,123.875872479365,337.200204088506,130.908075132025,746.229944369441,24614.0271191634,67001.38454649,26011.3196131384,22679.3173198674,33601.3572379545,6.28975187329118,2.06178552838704,6.66484242166737,21.8537563633656,36.8701361867112,70258.7834606948,199004.774140575,115286.878017876,-288283.985468656
"female","all","[50,55)",94928.265625,1949.73864746094,470081.9375,0.371066126997897,0.110204290736518,0.281108180593129,0.237621401672457,0.110204290736518,0.281108180593129,0.237621401672457,0.458083382549014,0.683162304735846,51805.0465102356,132143.878180318,111701.528889654,174431.483919793,214.86956476501,548.087483819852,463.299630304628,723.481968571449,19143.367150292,48830.7403829754,41276.738905371,35244.4641837978,60281.8449314639,3.56947483407661,1.62455954091572,5.48951480265241,21.6690688055643,32.352617983209,72069.6173875114,232067.601245022,197447.964113704,-406656.946691817
"female","all","[55,60)",92978.53125,2867.78482055664,458146.4453125,0.223481829932955,0.0809185939607102,0.304589043626952,0.391010532479382,0.0809185939607102,0.304589043626952,0.391010532479382,0.562120141976063,0.828536554691794,37072.5661827849,139546.387618822,179140.085535177,102387.405975716,232.057115461311,873.495835821238,1121.33406972214,640.897799551949,8233.1843820271,30990.8716177597,39783.9563398797,30523.7084557321,77950.8256172918,1.7682853134033,1.10145397799494,4.18339842465773,20.9220942122739,27.9752319283299,55753.6507892406,220068.409212714,333787.712504032,-516631.275099027
"female","all","[60,Inf)",90110.7421875,90110.7440795898,2142949.53076172,0.0289438292433429,0.0304902220013692,0.116390913532509,0.82417503522278,0.0304902220013692,0.116390913532509,0.82417503522278,0.876254383133329,0.964324954426722,65339.0069306548,249419.853539417,1766165.50499618,62025.165295469,2747.49659169526,10488.0718225176,74267.0256757468,2608.14998963022,1811.63798733378,6915.60069082162,48970.0206825221,60358.5553551169,209365.020999289,0.688321545131752,0.725096756995955,2.76792585972082,19.5999440479714,23.7812882098199,33231.0696000743,172234.95937736,480924.868847213,-596280.185238245
"male","all","[0,5)",1e+05,686.668961524964,496907.890625,0.996176308972655,0.00117532745799708,0.00264836356934791,0,0.00117532745799708,0.00264836356934791,0,0,0,584.029487946972,1315.99275485277,0,495007.8683822,0.80706088503463,1.81854906190468,0,684.043351578024,580.992364700635,1309.14920967181,0,0,0,45.7890752112614,2.87867419523256,8.20564458063862,17.3147742562756,74.1881682434082,0,0,0,1e+05
"male","all","[5,10)",99313.3359375,59.8123579025269,496405.203125,0.988620374027546,0.00403568762320083,0.00602185669780519,0.00132208165144732,0.00403568762320083,0.00602185669780519,0.00132208165144732,0.180023522607851,0.24675972100985,2003.33633434406,2989.28099726363,656.288210734544,490756.297582658,0.241383992501686,0.360181448046853,0.0790768209127311,59.1317156410656,1980.30047902924,2954.90801487032,648.741719409986,494.283151104988,538.076054059052,41.1213621432879,2.89269701116577,8.24912845365077,17.4344906379664,69.6976782460709,580.1853038156,1307.33066060991,0,97425.8150740495
"male","all","[10,15)",99253.5234375,98.952470779419,496093.0703125,0.974246217038382,0.00522920691846324,0.0193078152932557,0.00121676074989859,0.00522920691846324,0.0193078152932557,0.00121676074989859,0.0592831124667458,0.188763086087246,2594.1733154798,9578.47336985785,603.626576252932,483316.797050909,0.51744294479877,1.9105560286203,0.120401482549884,96.4040703234501,2526.85942211661,9329.93009360358,587.96360772935,489.586486748016,567.728450337094,36.2016705374081,2.87425618578272,8.22398194080983,17.4383848298013,64.7382934938019,2065.96124774735,3723.80243997313,1681.02184775311,91782.7331450989
"male","all","[15,20)",99154.5703125,413.635581970215,494892.6484375,0.954258510550705,0.0140613881277433,0.0311789708896896,0.000501130431862037,0.0140613881277433,0.0311789708896896,0.000501130431862037,0.0158184605148697,0.0344123463129593,6958.8776112465,15430.2434791542,248.005766636832,472255.521580462,5.81629046152817,12.8967317691891,0.207285377826239,394.715274361671,6635.01793973999,14712.1343438034,236.463809642945,239.271154106095,243.878690767565,31.3634212554127,2.85096168027918,8.13558778379571,17.4497000530338,59.7996707725214,4102.71674017114,12484.093527211,3326.17999108502,79241.5759513259
