"sex","race","x","name","value"
"all","all","[5,6)","dx_lost_mom_to_lost_both",0
"all","all","[5,6)","dx_lost_dad_to_lost_both",0
"all","all","[5,6)","ex_lost_none",41.5507118164243
"all","all","[5,6)","ex_lost_mom",3.09048190883724
"all","all","[5,6)","ex_lost_dad",8.88225734580378
"all","all","[5,6)","ex_lost_both",18.9510075649339
"all","all","[5,6)","ex",72.4744586359992
"all","all","[5,6)","lx_lost_mom",-0.192753959455047
"all","all","[5,6)","lx_lost_dad",160.964002006691
"all","all","[5,6)","lx_lost_both",0
"all","all","[5,6)","lx_lost_none",99216.5789459301
"all","all","[6,7)","lx",99364.65625
"all","all","[6,7)","dx",11.6396427154541
"all","all","[6,7)","Lx",99358.8359375
"all","all","[6,7)","pr_lost_none",0.991753467562432
"all","all","[6,7)","pr_lost_mom",0.00244665249113284
"all","all","[6,7)","pr_lost_dad",0.00579987994643564
"all","all","[6,7)","pr_lost_both",0
"all","all","[6,7)","mx_lost_none_to_lost_mom",0
"all","all","[6,7)","mx_lost_none_to_lost_dad",0
"all","all","[6,7)","mx_lost_none_to_lost_both",0
"all","all","[6,7)","mx_lost_dad_to_lost_both",0
"all","all","[6,7)","mx_lost_mom_to_lost_both",0
"all","all","[6,7)","Lx_lost_mom",243.096543462543
"all","all","[6,7)","Lx_lost_dad",576.269320055095
"all","all","[6,7)","Lx_lost_both",0
"all","all","[6,7)","Lx_lost_none",98539.4700739824
"all","all","[6,7)","dx_lost_mom_to_dead",0.028478160845662
"all","all","[6,7)","dx_lost_dad_to_dead",0.0675085303690379
"all","all","[6,7)","dx_lost_both_to_dead",0
"all","all","[6,7)","dx_lost_none_to_dead",11.5436560242394
"all","all","[6,7)","dx_lost_none_to_lost_mom",0
"all","all","[6,7)","dx_lost_none_to_lost_dad",0
"all","all","[6,7)","dx_lost_none_to_lost_both",0
"all","all","[6,7)","dx_lost_mom_to_lost_both",0
"all","all","[6,7)","dx_lost_dad_to_lost_both",0
"all","all","[6,7)","ex_lost_none",40.565027908474
"all","all","[6,7)","ex_lost_mom",3.0848658510594
"all","all","[6,7)","ex_lost_dad",8.8815263834726
"all","all","[6,7)","ex_lost_both",18.9522286414665
"all","all","[6,7)","ex",71.4836487844725
"all","all","[6,7)","lx_lost_mom",-0.269020148495544
"all","all","[6,7)","lx_lost_dad",160.940336689566
"all","all","[6,7)","lx_lost_both",-0.0152097484639753
"all","all","[6,7)","lx_lost_none",99204.0048095358
"all","all","[7,8)","lx",99353.015625
"all","all","[7,8)","dx",10.7955808639526
"all","all","[7,8)","Lx",99347.6171875
"all","all","[7,8)","pr_lost_none",0.986148800652056
"all","all","[7,8)","pr_lost_mom",0.00833721941352822
"all","all","[7,8)","pr_lost_dad",0.00551397993441617
"all","all","[7,8)","pr_lost_both",0
"all","all","[7,8)","mx_lost_none_to_lost_mom",0
"all","all","[7,8)","mx_lost_none_to_lost_dad",0
"all","all","[7,8)","mx_lost_none_to_lost_both",0
"all","all","[7,8)","mx_lost_dad_to_lost_both",0
"all","all","[7,8)","mx_lost_mom_to_lost_both",0
"all","all","[7,8)","Lx_lost_mom",828.282882703395
"all","all","[7,8)","Lx_lost_dad",547.800767703934
"all","all","[7,8)","Lx_lost_both",0
"all","all","[7,8)","Lx_lost_none",97971.5335370927
"all","all","[7,8)","dx_lost_mom_to_dead",0.0900051263592593
"all","all","[7,8)","dx_lost_dad_to_dead",0.0595266162642019
"all","all","[7,8)","dx_lost_both_to_dead",0
"all","all","[7,8)","dx_lost_none_to_dead",10.6460491213291
"all","all","[7,8)","dx_lost_none_to_lost_mom",0
"all","all","[7,8)","dx_lost_none_to_lost_dad",0
"all","all","[7,8)","dx_lost_none_to_lost_both",0
"all","all","[7,8)","dx_lost_mom_to_lost_both",0
"all","all","[7,8)","dx_lost_dad_to_lost_both",0
"all","all","[7,8)","ex_lost_none",39.5779691143441
"all","all","[7,8)","ex_lost_mom",3.0827804913387
"all","all","[7,8)","ex_lost_dad",8.87676676144178
"all","all","[7,8)","ex_lost_both",18.9544491657771
"all","all","[7,8)","ex",70.4919655329017
"all","all","[7,8)","lx_lost_mom",-0.297498309341205
"all","all","[7,8)","lx_lost_dad",160.872828159197
