"race","sex","age","w","s_lost_none","s_lost_mom","s_lost_dad","s_lost_both","s_lost_none0","s_lost_mom0","s_lost_dad0","i_lost_none_to_lost_mom","i_lost_none_to_lost_dad","i_lost_dad_to_lost_both","i_lost_mom_to_lost_both","i_lost_none_to_lost_both"
"non-hispanic white","female",80,4603.0514118,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic black","female",70,3476.6050671,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic other","female",23,4679.4275342,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",24,4173.4528852,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",64,5243.2461175,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",66,5243.2461175,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",61,5167.9667828,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",62,5167.9667828,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",75,3495.4713561,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",49,14686.671289,0,0,1,0,1,0,1,0,1,0,0,0
"hispanic","male",51,14686.671289,0,1,0,0,1,1,0,1,0,0,0,0
"non-hispanic white","female",18,14473.306062,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",15,13485.948984,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","female",28,5493.7084302,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","male",32,5493.7084302,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","female",11,7322.219144,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","male",9,7286.9817193,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","female",6,8183.3378865,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","male",1,10315.621553,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",32,4904.4129193,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",38,4904.4129193,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",7,7612.3894025,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",6,6733.6950016,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",3,7935.6037652,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",1,10443.383434,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",78,7873.6118051,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",72,9932.1692002,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",59,8984.7965807,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",56,18987.444472,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",39,5168.1736045,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","male",20,4784.5776642,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",12,5346.192818,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",13,5346.192818,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",50,5558.2478375,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","male",50,5558.2478375,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",69,5266.1046874,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",65,7809.6548161,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",69,3545.7070018,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",71,3545.7070018,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",40,3623.8394493,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","female",31,11915.394326,0,1,0,0,1,1,0,1,0,0,0,0
"non-hispanic white","male",36,8699.2146335,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",57,5812.9636788,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",56,5812.9636788,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",15,5595.1434152,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",62,8424.2043882,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",64,8424.2043882,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",74,6768.2060808,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",69,3326.0624619,0,0,0,1,1,1,1,0,0,1,1,1
"hispanic","male",55,4886.2208014,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",34,5491.4217266,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","female",25,3378.9973462,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","female",88,4434.5508741,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",66,6680.1778554,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",30,12122.817614,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",33,12122.817614,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",11,10052.260988,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",2,10140.120971,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",68,2016.1732457,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",78,3825.9816318,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",80,3825.9816318,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",24,9804.3525207,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",25,9804.3525207,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",59,9512.0248648,0,1,0,0,1,1,0,1,0,0,0,0
"non-hispanic white","male",53,9512.0248648,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",69,4240.7957227,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",28,10068.96715,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",29,9387.6270601,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",26,17752.10599,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",52,7418.1388269,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","male",46,8762.9192798,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","female",48,8467.6819828,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","male",14,10027.298879,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",67,797.95327421,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",19,1591.2926954,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",16,1180.197669,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",38,1472.4700305,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",66,4760.1169397,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",51,6147.352651,0,1,0,0,1,1,0,1,0,0,0,0
"non-hispanic white","male",79,4126.0317066,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",75,4126.0317066,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",62,6900.7046884,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",66,4741.8960134,0,0,1,0,1,0,1,0,1,0,0,0
"hispanic","female",34,10781.994986,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","male",38,10781.994986,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","male",16,7821.8936896,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","female",16,10011.660206,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","male",15,7708.9106603,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","male",12,8025.7659141,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","male",9,7982.7181571,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",86,3669.4987816,0,0,0,1,1,1,1,0,0,1,1,1
