"sex","race","w_i_lost_mom_first","w_i_lost_mom_last","w_i_lost_dad_first","w_i_lost_dad_last","w_i_lost_both","w_s_lost_none","w_s_lost_mom","w_s_lost_dad","w_s_lost_both","w_s_total","n_i_lost_mom_first","n_i_lost_mom_last","n_i_lost_dad_first","n_i_lost_dad_last","n_i_lost_both","n_s_lost_none","n_s_lost_mom","n_s_lost_dad","n_s_lost_both","age"
"male","hispanic",51347.5714462,78641.6272323,40233.7805735,26115.8745612,19729.728168,1362956.4149627,536998.6005824,1304391.4339143,946116.5021429,4150462.9516023,7,11,5,5,1,197,81,184,134,53
"male","non-hispanic white",143687.1473455,358728.1096786,470476.8659722,316549.3586824,38643.3932146,10032060.4935773,3235827.107625,9889955.53191979,8466381.47317261,31624224.6062947,21,55,69,38,6,1464,476,1454,1263,53
"female","non-hispanic white",219212.2763081,425895.6725933,514283.4432739,297218.207063,15426.80092,10294078.5724961,3668762.33331221,11174144.1310521,9335070.5315245,34472055.5683849,31,61,77,41,1,1566,540,1717,1441,53
"male","non-hispanic other",7829.3368609,4617.0251519,16758.9485911,11680.7308911,0,237580.9608874,41368.6310397,261580.6148022,212300.4279772,752830.6347065,1,1,3,2,0,36,9,36,30,53
"female","non-hispanic other",14137.790067,4236.6048131,9593.5962716,28137.1957063,0,278541.7342454,77304.0746262,252618.8775267,283760.6723538,892225.3587521,1,1,1,2,0,36,8,43,50,53
"female","non-hispanic black",12486.0300411,136156.2243989,49052.0391974,25178.3325706,0,1079545.402244,497724.5870933,1489101.4697456,1762351.7367272,4828723.1958101,2,18,8,4,0,146,63,225,250,53
"female","non-hispanic asian",13241.1110004,10454.2228988,39083.1258232,9065.9027721,8674.6056528,587970.4635511,166994.474251,631191.9776837,618989.4698069,2005146.3852927,2,2,5,2,1,90,24,96,96,53
"female","hispanic",11584.588348,33825.5859056,61717.1135831,14646.3884327,7727.5651901,1260262.9515377,588266.6641656,1382568.3238509,1489046.0695934,4720144.0091476,1,7,8,2,1,191,83,219,219,53
"male","non-hispanic black",27413.437839,51376.5703209,93393.2666947,24457.9462328,0,1034659.1643592,279354.002576,1099944.6998104,1290045.3428438,3704003.2095894,4,6,7,3,0,135,41,148,181,53
"male","non-hispanic asian",0,7918.4443601,10742.2809065,10139.839564,0,663729.9122402,109818.7722091,489036.1056249,547148.5606481,1809733.3507223,0,1,3,1,0,99,16,75,76,53
"male","hispanic",9199.9624142,18041.3170152,52366.3394331,19387.4115026,4567.3981774,1184365.8058043,529722.2609046,1218553.4496252,946816.3382685,3879457.8546026,2,2,7,2,1,175,79,174,141,54
"male","non-hispanic white",196889.3754415,414424.0737607,509704.3846239,286198.1135359,36752.6428137,8973927.07088449,2909334.1393503,9598773.02070249,8923733.37484491,30405767.6057822,31,58,72,42,6,1318,443,1428,1336,54
"female","non-hispanic white",204577.1308956,542393.8012978,568266.5421777,313790.3781001,33622.466426,9240884.03476589,3424066.40036611,10925204.8732732,9835404.81225048,33425560.1206557,33,87,90,45,5,1417,513,1696,1515,54
"male","non-hispanic other",5879.2979957,9158.3863255,5442.1454571,0,0,212992.6754354,37517.2370095,273722.5382414,219554.2498579,743786.7005442,1,2,1,0,0,32,8,38,32,54
"female","non-hispanic other",0,7229.3261242,15327.6243979,2624.4673723,0,254810.3479068,63304.6689869,234309.9563504,311351.8781266,863776.8513707,0,2,2,1,0,34,7,40,52,54
"female","non-hispanic black",0,78700.6075877,41239.955001,45769.8712818,2752.4153294,953720.977215,466632.2172372,1305402.6432248,1907090.0923653,4632845.9300423,0,10,8,5,1,130,59,208,270,54
"female","non-hispanic asian",21657.3219671,31062.9355294,3494.4413819,32290.6964268,0,461691.9456377,171169.6824793,615168.0690692,647184.2011306,1895213.8983168,3,6,1,4,0,76,24,94,101,54
"female","hispanic",13211.9069334,55543.0745065,35013.9324866,58676.9920482,0,1108426.0832526,563325.9266555,1334555.2450626,1475386.5083331,4481693.7633038,2,6,6,8,0,171,78,208,219,54
"male","non-hispanic black",16427.1606035,101768.7248563,37632.033143,7948.5280834,13204.826766,835730.3322016,275662.4841559,1017183.1099736,1289104.6518834,3417680.5782145,3,6,6,2,1,116,41,139,185,54
"male","non-hispanic asian",20326.9405198,39043.0013226,23459.9799118,11367.0568285,3589.9159866,621668.1016341,99678.9326451,416078.1577046,551009.1792155,1688434.3711993,3,5,3,2,1,92,15,67,76,54
"male","hispanic",49724.5749289,48176.3497515,105344.1276078,83283.1173822,16191.4514103,1077584.6953435,498225.6188959,1151870.7414034,916332.0081865,3644013.0638293,6,9,15,14,2,159,77,167,135,55
"male","non-hispanic white",349891.5317253,670045.4582397,648028.6720109,334221.9294458,48608.9115599,7794876.7547543,2733586.5589315,9189794.0471929,9251320.9661388,28969578.3270175,47,106,100,49,8,1161,422,1391,1401,55
"female","non-hispanic white",312027.303069,873764.0126483,683620.3473595,352082.8454587,30082.7544695,8162935.2064984,3145330.82078831,10597170.6088777,10324843.1214751,32230279.7576395,54,138,112,60,4,1257,483,1656,1607,55
"male","non-hispanic other",0,11376.0552463,4654.3239488,4171.3848867,0,171267.1525719,39545.6262542,236590.2382729,215836.3587974,663239.3758964,0,2,1,1,0,26,8,35,33,55
"female","non-hispanic other",19265.4109638,18893.9628036,23149.6721212,0,0,215339.7638913,60680.2016146,234384.8396602,317501.5741942,827906.3793603,3,4,4,0,0,30,6,39,54,55
"female","non-hispanic black",44765.8384192,100233.5096596,91042.9624572,39175.0453438,5749.7216855,842603.850617,383458.6890514,1221361.9967088,1958742.5020809,4406167.0384581,5,16,13,8,1,116,51,199,280,55
"female","non-hispanic asian",8556.8703583,16039.6335137,26761.5334822,11827.743202,0,413226.1281432,160536.3080196,560466.2190264,682630.814732,1816859.4699212,2,4,4,1,0,69,23,86,107,55
"female","hispanic",20402.321421,42922.7600764,57277.1410469,39842.674163,0,996535.7758927,468250.0929983,1215524.9090688,1476935.7960971,4157246.5740569,3,8,9,5,0,155,66,195,220,55
"male","non-hispanic black",66923.7856979,51653.6534782,75679.280409,30288.4883916,6013.3183019,684935.4015441,265919.3543694,918222.6273428,1377575.5898055,3246652.9730618,5,11,11,6,1,100,38,134,188,55
"male","non-hispanic asian",19268.4344967,55834.2120913,22868.614675,8665.428391,0,548380.7738387,108638.8163364,371552.2334709,559521.8503072,1588093.6739532,4,7,4,1,0,82,16,61,81,55
"male","hispanic",21275.9317279,71819.6782134,18778.8657026,3131.633725,0,842867.1936063,440231.4319366,1132321.0196123,1016710.1783645,3432129.8235197,3,11,2,1,0,127,67,165,155,56
"male","non-hispanic white",194822.5520352,396113.7355387,325226.2792415,211507.8886785,39141.0874464,6518948.4394663,2659885.7323106,8919258.1297397,9885916.44375469,27984008.7452713,31,63,49,34,4,978,408,1353,1515,56
"female","non-hispanic white",196246.3298427,594210.9345891,397755.0299642,233139.8519459,34973.8517363,6925827.0893793,2979157.39895511,9988897.8232286,11192837.3436947,31086719.6552577,24,94,59,36,5,1058,462,1578,1760,56
"male","non-hispanic other",0,17134.2499985,2546.9254377,0,0,163620.2727789,35374.2413675,217354.7284106,221874.7705956,638224.0131526,0,3,1,0,0,24,7,32,35,56
"female","non-hispanic other",0,0,6748.6146064,0,19619.676161,172924.6808063,79945.6125784,238640.5489778,297281.6011683,788792.4435308,0,0,2,0,1,23,9,39,54,56
"female","non-hispanic black",13745.2207878,54599.8172815,26662.7302328,16815.3668448,39123.6022021,648721.5127241,368656.4347972,1141082.4804719,1974325.8835496,4132786.3115428,3,9,4,3,2,94,45,188,291,56
"female","non-hispanic asian",0,14034.7058291,27948.7111127,0,0,377907.7243027,140993.7508611,554322.5399935,710498.1914477,1783722.206605,0,2,5,0,0,63,22,84,112,56
"female","hispanic",15446.3348382,52208.0226965,45614.1055735,13618.5881833,0,831663.332835,412611.7907383,1175328.8624669,1480064.663775,3899668.6498152,2,8,7,2,0,129,60,188,222,56
"male","non-hispanic black",0,53215.0781457,16839.1572637,17310.5419544,3661.7561622,516224.9474446,282759.9910159,902003.3361464,1394920.0701263,3095908.3447332,0,9,2,3,1,80,35,131,199,56
