ind,race,x,state,mean,se_mean,sd,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,n_eff,Rhat
"1,3,3",hispanic,10,lost_dad,11.905225464782722,0.0033849325684578106,0.2631707167181958,11.390825607842737,11.470256782142755,11.57229171717193,11.726795123681873,11.90237241171198,12.080043632935398,12.248148112326206,12.344068583813552,12.415314161833189,6044.7046194242075,1.0003691209758552
"1,3,4",hispanic,10,lost_both,17.90442149946591,0.005112489145699684,0.392394807551445,17.143954847397783,17.249430412292586,17.396664440198705,17.64249929080116,17.905176884856747,18.17330958789705,18.408921126838024,18.545903294848973,18.66070401931201,5890.900749586587,0.9997795551389412
"1,4,1",hispanic,15,lost_none,29.6721813887659,0.003208874524429403,0.2369722947893576,29.21381764761262,29.279850261118472,29.36543948020302,29.51525713730423,29.671887503899036,29.830885075297992,29.977978768860932,30.06210242117977,30.136408382849027,5453.680325958955,0.9996295624953005
"1,4,2",hispanic,15,lost_mom,4.217886620013008,0.002193252538044335,0.16958599793408616,3.8842564508565722,3.9398675974551556,4.001137375451832,4.103758750574325,4.216255454568374,4.332709185392872,4.431127261337581,4.4952410283220114,4.548877216035923,5978.644103747902,0.999932698867775
"1,4,3",hispanic,15,lost_dad,11.777538560016508,0.003389929418536381,0.26373454830002985,11.262753772749548,11.340361567199626,11.442389937348,11.599705763397765,11.776907700087667,11.95094955612872,12.12249220899463,12.216841150660018,12.287518480237187,6052.750013828781,1.0003742012003565
"1,4,4",hispanic,15,lost_both,17.948616392999355,0.0051166976383501764,0.39290806371443127,17.18139490581469,17.295952324933516,17.44251616951146,17.68591038347625,17.949128501858567,18.218129727110977,18.45598587816951,18.59157382847596,18.708470688171385,5896.609613697558,0.9997906599774845
"1,5,1",hispanic,20,lost_none,25.16851770744712,0.0032045081241068155,0.23746912779385682,24.70790058342314,24.776242793685817,24.862307608856952,25.009681483829358,25.16698760132283,25.32762370246354,25.474473868245294,25.560007667290563,25.639828170451608,5491.507237776951,0.9996062274917102
"1,5,2",hispanic,20,lost_mom,4.156422219312852,0.0021994052525102937,0.17030056880462663,3.823679662401366,3.8767662587897673,3.9388155324062577,4.043108800224838,4.154328239837829,4.271236161399035,4.3714951284365755,4.436178977304924,4.489066292743415,5995.448561479529,0.9999187218003294
"1,5,3",hispanic,20,lost_dad,11.583485010049467,0.0034052130323049927,0.2646800363087241,11.067316514811532,11.143161451763364,11.248696048769176,11.402191566127033,11.582799163951904,11.759405916525342,11.927962496745511,12.028544182991014,12.098540393891788,6041.625445701958,1.0004168463216845
"1,5,4",hispanic,20,lost_both,18.025177935834147,0.005117785760908712,0.3941152173763072,17.247179345247,17.36837115964379,17.518032315407268,17.75925842035772,18.025128096164934,18.29382960711653,18.52811381441924,18.667495972438385,18.786647588211864,5930.375659661357,0.999829489688518
"1,6,1",hispanic,25,lost_none,20.86347511970053,0.0032019602191819267,0.23775292201991155,20.405802437768227,20.472459654047466,20.55783407336261,20.703843109102017,20.861679517809282,21.021365716634627,21.16969123507516,21.253788373730767,21.3325945173303,5513.404576460875,0.9996154253345122
"1,6,2",hispanic,25,lost_mom,4.05692858894211,0.0022196399326397994,0.1711891201344959,3.719419866838593,3.776006717163845,3.8383007397263165,3.9426087939434082,4.054797470701773,4.172149146632949,4.273209076329794,4.335897319942534,4.39095662269378,5948.223257099497,0.9998926755068644
"1,6,3",hispanic,25,lost_dad,11.280066424699411,0.003421945722321702,0.2661235494417342,10.766156341927019,10.83690765342628,10.940908284941006,11.097928959098414,11.280701504327514,11.459658933740098,11.624505194034663,11.724456058193606,11.803953570698052,6048.119747354723,1.0004745610704555
"1,6,4",hispanic,25,lost_both,18.105565713160857,0.005146742631967802,0.39554057749606497,17.335218545505203,17.44535881975867,17.59621736271708,17.84085012191989,18.105912270739303,18.374326025382416,18.609820604759516,18.752513123252886,18.872013136264062,5906.322864369727,0.9998472808637918
"1,7,1",hispanic,30,lost_none,16.813713864017338,0.003187651512671747,0.23764171514295215,16.356105729207783,16.4260270658574,16.508904727238523,16.652880897243122,16.812366717354863,16.973614559454557,17.117162941816247,17.207098171201885,17.282713711226243,5557.80984148819,0.9996563077432408
"1,7,2",hispanic,30,lost_mom,3.894053622097532,0.0022299397774293477,0.17219823278771992,3.5544568981268694,3.611104893655186,3.671947946172983,3.780075278516799,3.8937902192197384,4.0093816679077605,4.113044501117262,4.178785797481713,4.2294939063578925,5963.086527959527,0.9998550886761994
"1,7,3",hispanic,30,lost_dad,10.837569676955455,0.003414959715902334,0.2663112885093901,10.317284829869951,10.398743521355897,10.497925392005053,10.658247578744646,10.838600009557048,11.012941994200409,11.184935585224002,11.280010118067187,11.358506540578619,6081.461782242346,1.0004514112797358
"1,7,4",hispanic,30,lost_both,18.17303413692902,0.005134952093773004,0.3954322128762526,17.39732642041297,17.511145337565146,17.660808804198133,17.90886980060572,18.175780074919686,18.437937326199847,18.68117366412056,18.81649802200574,18.943278578927792,5930.226726299157,0.9998571031180508
"1,8,1",hispanic,35,lost_none,13.106725404085509,0.003217249636267221,0.23711473402803365,12.650520244230398,12.72179822180113,12.80302755845565,12.941055811125473,13.108968816860116,13.263738540464288,13.411428204789289,13.498948000654512,13.573531088167345,5431.847415751367,0.999711339631969
"1,8,2",hispanic,35,lost_mom,3.645053427615467,0.002227743903339761,0.1724458962083574,3.303658813682031,3.3587647345678713,3.420530073757781,3.5308550194044623,3.6443507583861687,3.7616677514104717,3.8643348664640715,3.926435405211033,3.9825207593213783,5992.046841919924,0.9999582438370967
"1,8,3",hispanic,35,lost_dad,10.234588791067138,0.0034217767942916347,0.2669897603925755,9.715259422467016,9.793991670697592,9.89135693237158,10.054302495479945,10.23546813882982,10.412383248653759,10.58025509083261,10.677979014669397,10.757100038670082,6088.157202037981,1.000447899081707
"1,8,4",hispanic,35,lost_both,18.199859895200714,0.0051447930457339695,0.39580531008185443,17.424589982560505,17.54079990113906,17.68338764187213,17.934739519117468,18.200637439497523,18.469181651750155,18.713879699531375,18.844649733481436,18.971002396194862,5918.714801947463,0.9998899671909005
"1,9,1",hispanic,40,lost_none,9.787811378108046,0.0031671887269458503,0.23583145274222372,9.332093221659392,9.402593861017943,9.48477390028148,9.629578123105553,9.78914736069602,9.944344918326236,10.091968948733026,10.179179040604698,10.257097259076751,5544.412917567669,0.9997397250237186
"1,9,2",hispanic,40,lost_mom,3.3176752457337164,0.0022398707940426556,0.17305861395007288,2.9747563860791635,3.0318337578965546,3.0965226923364804,3.2019093907555716,3.315862795429531,3.4337225403109177,3.538303027721556,3.6047692722322484,3.6484047440395297,5969.5350734210115,0.9999155195219405
"1,9,3",hispanic,40,lost_dad,9.445598821189988,0.003449808737012415,0.2680130231982023,8.923831930974256,9.00587907512651,9.103624590054906,9.267266147086119,9.445470540850732,9.625565711384711,9.791739623392587,9.886959924274734,9.979053321133787,6035.61820429311,1.0002904654124292
"1,9,4",hispanic,40,lost_both,18.183776743161545,0.005157619851196189,0.3962275779781926,17.40062168623236,17.527988767995115,17.675247102658265,17.921554560940013,18.18563566659954,18.456143884073057,18.69130018279806,18.82559631894411,18.964374626537097,5901.884987275836,0.9998873958191024
"1,10,1",hispanic,45,lost_none,7.0029567673572055,0.0031849001564757543,0.2345392115292872,6.548812899810789,6.615014198939994,6.701537498450421,6.845798363494868,7.00405875848132,7.157940273041651,7.300313700882834,7.392845472196061,7.467518745095513,5422.995914793183,0.999680403313482
"1,10,2",hispanic,45,lost_mom,2.9333854602521967,0.0022415665591746306,0.17393092508164917,2.5926822043098587,2.6461193060792794,2.711946260248863,2.816708706400883,2.9340244736120455,3.051408443307561,3.1553609365033606,3.2212016004734125,3.2730628492125833,6020.746414900428,0.9999052540674244
"1,10,3",hispanic,45,lost_dad,8.449249993433954,0.003458651193210714,0.26943467331429466,7.925517385274397,8.010966954854442,8.102694201579865,8.26832853670759,8.447808246949021,8.632895040639973,8.796222680396736,8.894307393197497,8.981612567243424,6068.668811044364,1.0003668666428203
"1,10,4",hispanic,45,lost_both,18.05224086658621,0.0051643448138066535,0.3961536540154882,17.276215039571444,17.387176073672077,17.543697596636413,17.784066371316953,18.05267711543452,18.325612067436126,18.559000907759263,18.70113494327572,18.81599446791311,5884.327947422866,0.9998313734230365
"1,11,1",hispanic,50,lost_none,4.483775301418842,0.0030770251378491047,0.22704381881041547,4.047474501120119,4.109975802103737,4.190501712912602,4.334435111496103,4.483896825082658,4.634012891229603,4.77250756040969,4.858846059063707,4.939571905045294,5444.490912739249,0.9996894441439952
"1,11,2",hispanic,50,lost_mom,2.4002352732179286,0.0021785554107999253,0.16926576732194393,2.0705326747789465,2.117559229253229,2.1844495186266815,2.2870292984142493,2.401471589533217,2.5162544449088964,2.6172925254311643,2.677675978894723,2.730241954367217,6036.720209114532,0.999962994968867
"1,11,3",hispanic,50,lost_dad,7.010732582806399,0.0033954633794802866,0.26513130298683707,6.498670851847923,6.582622424962557,6.671188852680534,6.8275752208740395,7.008764191693255,7.1904205765402205,7.348163544784541,7.442832547344434,7.527515013356114,6097.108317730048,1.0002927334056462
"1,11,4",hispanic,50,lost_both,17.297807283303133,0.005070778180175915,0.3879367367390352,16.530536907202045,16.652193867992747,16.80398199327846,17.035144981055485,17.296534170418745,17.566130601210702,17.793530413702698,17.930605489393223,18.047050475975357,5852.920036891184,0.999686497365115
"1,12,1",hispanic,55,lost_none,2.8403417031191682,0.003054146828306292,0.2244879587593035,2.4020820661371927,2.470020608187821,2.551736708488163,2.6904849554685764,2.8389548441447077,2.9899938142952016,3.1260487438291773,3.2131403943548427,3.2775092422703342,5402.643089490536,0.9996551159699197
"1,12,2",hispanic,55,lost_mom,1.9109493101517645,0.002176023748904402,0.16948791717489994,1.5769363469689957,1.6295057821616432,1.6910613164097241,1.7988564656332549,1.9124360719943772,2.025607041963513,2.126804637603322,2.1825131395996715,2.235847401033718,6066.667928832813,1.0002258455378672
"1,12,3",hispanic,55,lost_dad,5.667048820419571,0.003409862783450461,0.26582213832690665,5.153562948887916,5.234012740596316,5.328316556445897,5.486397760435416,5.665362887768767,5.848062357620155,6.009536824084581,6.106166733605831,6.187906123217144,6077.269400975215,1.0001879184180886
"1,12,4",hispanic,55,lost_both,16.54807523009924,0.005100020377789014,0.38797775568230214,15.78259423894915,15.907352307293968,16.052434063180154,16.28946863990047,16.546050685362097,16.813672066098796,17.04800400703126,17.1783644474903,17.294135875968678,5787.217839626721,0.9997782193892134
"1,13,1",hispanic,60,lost_none,1.8323718793268338,0.0029842821301383064,0.22407192502806006,1.3969821610213735,1.4608112761382142,1.5432628201509366,1.6818986861670275,1.8317670555528998,1.9817734261009026,2.1176955638193986,2.204333655813408,2.2702981671976845,5637.611361789723,0.9995604251253771
"1,13,2",hispanic,60,lost_mom,1.4619584454383487,0.0021843815204657334,0.17059831249220972,1.1196587982124608,1.1808135134501991,1.2430085835387699,1.347007928049872,1.4615439962849641,1.5779010751810456,1.6776868388975625,1.7414872290042258,1.7950840434091513,6099.475262004507,1.0001789531132497
