"x","pr_lost_none","se_pr_lost_none","pr_lost_mom","se_pr_lost_mom","pr_lost_dad","se_pr_lost_dad","pr_lost_both","se_pr_lost_both","sex","race"
"[48,49)",0.577883436049674,0.0230444080365623,0.0765275732321472,0.012793769701038,0.249981682551796,0.021962473852148,0.0956073081663828,0.0141270507692032,"all","all"
"[49,50)",0.555911311798851,0.0229897096012832,0.0999679152950762,0.0128015280434354,0.242450855347448,0.0199632228605112,0.101669917558625,0.0131231522875392,"all","all"
"[50,51)",0.495292416209898,0.0225692612434135,0.111358568332685,0.0140225794776644,0.266668142119441,0.0202807435417475,0.126680873337976,0.0165653657745335,"all","all"
"[51,52)",0.441316261476417,0.0224946671068557,0.113825565450174,0.0153055073905482,0.26524696769573,0.0222394464044264,0.179611205377678,0.0183713608827112,"all","all"
"[52,53)",0.419651868741521,0.0208945208492633,0.0948427165948728,0.0142031340064215,0.25888291403989,0.0213601897090136,0.226622500623716,0.0226487372517018,"all","all"
"[53,54)",0.361290581906525,0.022558520476011,0.10532037615013,0.0136543165772833,0.28804861073694,0.0228930447457585,0.245340431206405,0.0196924601794138,"all","all"
"[54,55)",0.332712641706733,0.0233751247219819,0.10931551594069,0.0148264366611899,0.296681846663576,0.024217970855304,0.261289995689,0.0226233851808017,"all","all"
"[55,56)",0.28001984484344,0.0192891004342649,0.0806415336615026,0.0130993245116976,0.282515932443244,0.0206453394663972,0.356822689051813,0.0224086662903128,"all","all"
"[56,57)",0.26834737995211,0.0199326593381346,0.0812311542342128,0.0110239835107482,0.316685537286512,0.0225464440334772,0.333735928527165,0.0229017285014182,"all","all"
"[57,58)",0.261526378144441,0.0191447474329987,0.0849989852805028,0.0129938062298036,0.285924877895541,0.0203403181987375,0.367549758679513,0.0214510275830856,"all","all"
"[58,59)",0.195767985756188,0.0180426693439619,0.0979755629119889,0.0121411510484167,0.294960891933969,0.0192490013724486,0.411295559397854,0.0218469086142348,"all","all"
"[59,60)",0.159702396309576,0.0155352529359891,0.103180100102281,0.0128511588347046,0.334354918821847,0.0207261120794698,0.402762584766295,0.0225017110096413,"all","all"
"[60,Inf)",0.0357451698056906,0.00179146608743717,0.0340289639280646,0.00168322308714738,0.128617964439001,0.00311314893526022,0.801607901827247,0.0034551674720015,"all","all"
"[0,1)",1,0,0,0,0,0,0,0,"female","all"
"[0,1)",1,0,0,0,0,0,0,0,"male","all"
"[1,2)",0.994282524303914,0.00425836615817177,0.00182779765303255,0.00186382464290644,0.00388967804305368,0.00386838828589834,0,0,"female","all"
"[1,2)",0.99432649361664,0.00563312879643914,0.00567350638336022,0.00563312879643915,0,0,0,0,"male","all"
"[2,3)",1,0,0,0,0,0,0,0,"female","all"
"[2,3)",1,0,0,0,0,0,0,0,"male","all"
"[3,4)",1,0,0,0,0,0,0,0,"female","all"
"[3,4)",1,0,0,0,0,0,0,0,"male","all"
"[4,5)",0.986134557468217,0.00969096175202109,0.011300644265143,0.00959591602464502,0.00256479826664063,0.00238383501065363,0,0,"female","all"
"[4,5)",0.990473684820527,0.00499885470061058,0,0,0.00952631517947259,0.0049988547006106,0,0,"male","all"
"[5,6)",0.993506572394985,0.0046101741807075,0.00411445967007716,0.00409604519725726,0,0,0.00237896793493766,0.00177726670277039,"female","all"
"[5,6)",0.988305634473791,0.00762424190325971,0.00793549263509277,0.00672460106526639,0.00375887289111642,0.0037755501904241,0,0,"male","all"
"[6,7)",0.990475366463486,0.00614260574770906,0.00512955218583296,0.00458320126271236,0.00439508135068159,0.00431598616026206,0,0,"female","all"
"[6,7)",0.992919023339203,0.00549745355073321,0,0,0.00708097666079707,0.00549745355073325,0,0,"male","all"
"[7,8)",0.976110390521956,0.00768057753381961,0.0160059727708538,0.00703962094415763,0.00788363670719041,0.00350828334934236,0,0,"female","all"
"[7,8)",0.997062233894459,0.00195333031852985,0,0,0.00293776610554139,0.00195333031852984,0,0,"male","all"
"[8,9)",0.987390475243648,0.00525579488151812,0.0017740570632764,0.00163407074958135,0.00831034327429308,0.00476634684961613,0.00252512441878223,0.00187544586299442,"female","all"
"[8,9)",0.97967647276191,0.0089784056382558,0.00904413224726215,0.00518087918669764,0.00529937462869174,0.00398720133921566,0.00598002036213639,0.00590629466232067,"male","all"
"[9,10)",0.991893914688335,0.00434193778951359,0.00271910380372898,0.00262747366418881,0.00538698150793615,0.003479474675585,0,0,"female","all"
"[9,10)",0.986653008604349,0.00659276015282941,0.00218017974030136,0.00211405320432667,0.01116681165535,0.00614407951966872,0,0,"male","all"
"[10,11)",0.977042513012931,0.00923758761730746,0.00436393897670635,0.00399222564061043,0.0185935480103625,0.00889026405641636,0,0,"female","all"
"[10,11)",0.984135115475256,0.00705282170139067,0,0,0.0158648845247439,0.00705282170139066,0,0,"male","all"
"[11,12)",0.976992201280484,0.00955805676201775,0.00397687568443561,0.00391332779406733,0.0190309230350802,0.00877976390329105,0,0,"female","all"
"[11,12)",0.979592349643239,0.00962882585557942,0,0,0.0163970242505471,0.0090483510772758,0.00401062610621409,0.00274942654419687,"male","all"
"[12,13)",0.9678869006385,0.0105258948522255,0.00757777047813752,0.00530449016315383,0.0245353288833628,0.00921146842016692,0,0,"female","all"
"[12,13)",0.971735711528293,0.00964895670616392,0.0114058229749181,0.00547426804656093,0.0168584654967893,0.00725030658114746,0,0,"male","all"
"[13,14)",0.979932261521756,0.00886035370909927,0.00975732088244727,0.0056340175511208,0.0103104175957969,0.00655535468543114,0,0,"female","all"
"[13,14)",0.966594377093982,0.0117972833651453,0.00381727402770799,0.00350761679321258,0.0295883488783098,0.0115815978644237,0,0,"male","all"
"[14,15)",0.964934858315332,0.0147267919966702,0.0156464561237004,0.00800360071174713,0.0194186855609677,0.0125531197954722,0,0,"female","all"
"[14,15)",0.975074297038815,0.00965275613568019,0.0113271513256141,0.00627859954942474,0.0135985516355704,0.00739077578210242,0,0,"male","all"
"[15,16)",0.967892143594715,0.0115619398693797,0.00409240703507289,0.00299258170822887,0.0243767955571751,0.0108573031225959,0.00363865381303681,0.00311591285434996,"female","all"
"[15,16)",0.981353447454003,0.00741522060002316,0.00449743830134667,0.00326246800300183,0.0141491142446504,0.00665347214968215,0,0,"male","all"
"[16,17)",0.962524592469834,0.0113999057717495,0.00853105660459247,0.00487206770825651,0.0227505153939505,0.0091073425168319,0.00619383553162329,0.00336055829258086,"female","all"
"[16,17)",0.962727825232835,0.0104406970627637,0.0207197966356513,0.00794069871918259,0.0165523781315146,0.00736941043679239,0,0,"male","all"
"[17,18)",0.95628737321166,0.0126221214868616,0.0112827440832365,0.00671953929577775,0.0324298827051033,0.0103572972148148,0,0,"female","all"
"[17,18)",0.939326017503723,0.0143989152609123,0.0115384489693277,0.00590020404472313,0.0463181125539921,0.0131959298056379,0.00281742097295652,0.00274412361658425,"male","all"
"[18,19)",0.959276176495808,0.0128426267044702,0.0220138155185067,0.00869607422746292,0.0171531525862676,0.00854789429693301,0.0015568553994176,0.00160019453247255,"female","all"
"[18,19)",0.955750677764461,0.0145365844179624,0.0133987057957394,0.00589479360519745,0.0308506164397993,0.013419805949143,0,0,"male","all"
"[19,20)",0.947573139035175,0.017728034106048,0.00489261649558035,0.00472608868475211,0.0475342444692448,0.0169822333805133,0,0,"female","all"
"[19,20)",0.946077613822736,0.0155630157620116,0.0194256522877825,0.0112625657017102,0.034496733889482,0.0109542493847123,0,0,"male","all"
"[20,21)",0.935455033281007,0.0195144653178915,0.0120896440328083,0.00647190090156437,0.0524553226861844,0.0182542567770526,0,0,"female","all"
"[20,21)",0.953374139586464,0.0128942059513429,0.0127622638085182,0.00623059897685019,0.0338635966050178,0.0114743526784211,0,0,"male","all"
"[21,22)",0.942686762279717,0.0151254145568286,0.0169409829316414,0.00750801165852953,0.0375373462114493,0.0135290559434566,0.00283490857719196,0.00276003622453624,"female","all"
"[21,22)",0.962414375298706,0.0149813746560032,0.00932940850549162,0.00564987253852176,0.0282562161958025,0.0141702648442495,0,0,"male","all"
"[22,23)",0.91984574237806,0.0197185182733614,0.0075537311674904,0.00490403833024751,0.0726005264544496,0.0194333043729701,0,0,"female","all"
"[22,23)",0.953666203096362,0.0146349264236287,0.0130083421777968,0.0073079860137483,0.0333254547258417,0.0133814132513486,0,0,"male","all"
"[23,24)",0.942702188917938,0.0203664105632588,0.0139219178173148,0.00757596032459461,0.0400466130548374,0.0184489616147139,0.0033292802099101,0.00346804035644956,"female","all"
"[23,24)",0.954735466122602,0.0139478625358708,0.00533307025017544,0.00399222272403304,0.0322199266430351,0.011097013702047,0.0077115369841872,0.00781356489037524,"male","all"
"[24,25)",0.898097979019959,0.0211332015119654,0.0328322872643531,0.0119651221954279,0.0651619981917397,0.017308622997271,0.0039077355239481,0.00350612172886744,"female","all"
"[24,25)",0.959898261228317,0.012866449143731,0.0190345730414674,0.00835222792055978,0.0147781056567505,0.0074368757832162,0.00628906007346511,0.00609552464767666,"male","all"
"[25,26)",0.887936016400134,0.0227050766439771,0.0448287389752293,0.0169612755978203,0.0672352446246371,0.0176828550316635,0,0,"female","all"
"[25,26)",0.927718037981973,0.0181898755704915,0.0130162096129305,0.00605392685402847,0.0592657524050958,0.0165950224113987,0,0,"male","all"
"[26,27)",0.90744759373612,0.0191749411528666,0.0268500029876333,0.0101316845817377,0.0603524686060856,0.0144009847241645,0.00534993467016166,0.00546705475178056,"female","all"
"[26,27)",0.893280701599305,0.0198490801552193,0.00866110007586773,0.00600105287991325,0.0915475551295645,0.0183392119339117,0.00651064319526296,0.00634888393540445,"male","all"
"[27,28)",0.919852250039037,0.0211359819895794,0.0334450836746658,0.0135105368443215,0.0433846588341818,0.0169785662347256,0.00331800745211552,0.00340390478135784,"female","all"
"[27,28)",0.905620764566065,0.02460447771906,0.0476211842465272,0.0169621234651704,0.0467580511874083,0.0149544005964597,0,0,"male","all"
"[28,29)",0.912696171837769,0.019499426189395,0.0427880051522245,0.0139270949000884,0.0426705478650485,0.0141736078379618,0.00184527514495824,0.00177074619888953,"female","all"
"[28,29)",0.896737190016565,0.0201657844751044,0.026457756629206,0.00915487061531947,0.0768050533542287,0.0185806625624269,0,0,"male","all"
"[29,30)",0.850641585889083,0.0271656152422422,0.0502400027929479,0.0179005593148222,0.0874364549146059,0.0192727746697755,0.011681956403363,0.00699389043313733,"female","all"
"[29,30)",0.912055646939852,0.018077569690886,0.014259706219388,0.00680155573562236,0.0710684220186376,0.0161856777184603,0.00261622482212195,0.00259581948174406,"male","all"
"[30,31)",0.895675815186014,0.0185888772385829,0.0236886499199943,0.00826167348397537,0.0635758476151432,0.0139957796970779,0.0170596872788492,0.00863908260430344,"female","all"
