"x","race","name","value"
"[60,Inf)","all","se_Lx_lost_dad",5808.18037307667
"[60,Inf)","all","se_Lx_lost_both",6456.53031845656
"[60,Inf)","all","se_Lx_lost_none",3420.3876797696
"[60,Inf)","all","se_dx_lost_mom_to_dead",144.438789100072
"[60,Inf)","all","se_dx_lost_dad_to_dead",261.522349664938
"[60,Inf)","all","se_dx_lost_both_to_dead",290.715313765511
"[60,Inf)","all","se_dx_lost_none_to_dead",154.008272009727
"[0,5)","hispanic","se_pr_lost_none",0.00130289913807697
"[0,5)","hispanic","se_pr_lost_mom",0
"[0,5)","hispanic","se_pr_lost_dad",0.00130289913807698
"[0,5)","hispanic","se_pr_lost_both",0
"[0,5)","hispanic","se_mx_lost_none_to_lost_mom",0
"[0,5)","hispanic","se_mx_lost_none_to_lost_dad",0.00130289913807698
"[0,5)","hispanic","se_mx_lost_none_to_lost_both",0
"[0,5)","hispanic","se_mx_lost_dad_to_lost_both",0
"[0,5)","hispanic","se_mx_lost_mom_to_lost_both",NA
"[0,5)","hispanic","se_Lx_lost_mom",0
"[0,5)","hispanic","se_Lx_lost_dad",648.250534319632
"[0,5)","hispanic","se_Lx_lost_both",0
"[0,5)","hispanic","se_Lx_lost_none",648.250534319627
"[0,5)","hispanic","se_dx_lost_mom_to_dead",0
"[0,5)","hispanic","se_dx_lost_dad_to_dead",0.704139402327875
"[0,5)","hispanic","se_dx_lost_both_to_dead",0
"[0,5)","hispanic","se_dx_lost_none_to_dead",0.70413940232787
"[5,10)","hispanic","se_pr_lost_none",0.00468341565855064
"[5,10)","hispanic","se_pr_lost_mom",0.00112917516408855
"[5,10)","hispanic","se_pr_lost_dad",0.00363269621689528
"[5,10)","hispanic","se_pr_lost_both",0.00272775773638926
"[5,10)","hispanic","se_mx_lost_none_to_lost_mom",0.00112917516408855
"[5,10)","hispanic","se_mx_lost_none_to_lost_dad",0.00363269621689528
"[5,10)","hispanic","se_mx_lost_none_to_lost_both",0.00272775773638926
"[5,10)","hispanic","se_mx_lost_dad_to_lost_both",0.255081593043086
"[5,10)","hispanic","se_mx_lost_mom_to_lost_both",0.210364891446155
"[5,10)","hispanic","se_Lx_lost_mom",561.402999322712
"[5,10)","hispanic","se_Lx_lost_dad",1806.10291180062
"[5,10)","hispanic","se_Lx_lost_both",1356.18584550675
"[5,10)","hispanic","se_Lx_lost_none",2328.49931649674
"[5,10)","hispanic","se_dx_lost_mom_to_dead",0.0503764595471919
"[5,10)","hispanic","se_dx_lost_dad_to_dead",0.162067303495271
"[5,10)","hispanic","se_dx_lost_both_to_dead",0.121694827899152
"[5,10)","hispanic","se_dx_lost_none_to_dead",0.208943578435949
"[10,15)","hispanic","se_pr_lost_none",0.00801084157174962
"[10,15)","hispanic","se_pr_lost_mom",0.00378442315188629
"[10,15)","hispanic","se_pr_lost_dad",0.00611697684116019
"[10,15)","hispanic","se_pr_lost_both",0.000948090425334649
"[10,15)","hispanic","se_mx_lost_none_to_lost_mom",0.00378442315188629
"[10,15)","hispanic","se_mx_lost_none_to_lost_dad",0.00611697684116019
"[10,15)","hispanic","se_mx_lost_none_to_lost_both",0.000948090425334649
"[10,15)","hispanic","se_mx_lost_dad_to_lost_both",0.0598739871754887
"[10,15)","hispanic","se_mx_lost_mom_to_lost_both",0.0866470720016709
"[10,15)","hispanic","se_Lx_lost_mom",1880.63925343176
"[10,15)","hispanic","se_Lx_lost_dad",3039.78342223305
"[10,15)","hispanic","se_Lx_lost_both",471.146063250998
"[10,15)","hispanic","se_Lx_lost_none",3980.9245711189
"[10,15)","hispanic","se_dx_lost_mom_to_dead",0.268314087809194
"[10,15)","hispanic","se_dx_lost_dad_to_dead",0.433691211424863
"[10,15)","hispanic","se_dx_lost_both_to_dead",0.0672192319475433
"[10,15)","hispanic","se_dx_lost_none_to_dead",0.567965463332667
"[15,20)","hispanic","se_pr_lost_none",0.00945996473400646
"[15,20)","hispanic","se_pr_lost_mom",0.00372474554583543
"[15,20)","hispanic","se_pr_lost_dad",0.00877636704794531
"[15,20)","hispanic","se_pr_lost_both",0
"[15,20)","hispanic","se_mx_lost_none_to_lost_mom",0.00372474554583543
"[15,20)","hispanic","se_mx_lost_none_to_lost_dad",0.00877636704794531
"[15,20)","hispanic","se_mx_lost_none_to_lost_both",0
"[15,20)","hispanic","se_mx_lost_dad_to_lost_both",0
"[15,20)","hispanic","se_mx_lost_mom_to_lost_both",0
"[15,20)","hispanic","se_Lx_lost_mom",1848.0357617186
"[15,20)","hispanic","se_Lx_lost_dad",4354.40219015923
"[15,20)","hispanic","se_Lx_lost_both",0
"[15,20)","hispanic","se_Lx_lost_none",4693.56978024645
"[15,20)","hispanic","se_dx_lost_mom_to_dead",0.984562337961532
"[15,20)","hispanic","se_dx_lost_dad_to_dead",2.31985792135379
"[15,20)","hispanic","se_dx_lost_both_to_dead",0
"[15,20)","hispanic","se_dx_lost_none_to_dead",2.50055336154728
"[20,25)","hispanic","se_pr_lost_none",0.00932394126251575
"[20,25)","hispanic","se_pr_lost_mom",0.00519204091975032
"[20,25)","hispanic","se_pr_lost_dad",0.00793556822619541
"[20,25)","hispanic","se_pr_lost_both",0
"[20,25)","hispanic","se_mx_lost_none_to_lost_mom",0.00519204091975032
"[20,25)","hispanic","se_mx_lost_none_to_lost_dad",0.00793556822619541
"[20,25)","hispanic","se_mx_lost_none_to_lost_both",0
"[20,25)","hispanic","se_mx_lost_dad_to_lost_both",0
"[20,25)","hispanic","se_mx_lost_mom_to_lost_both",0
"[20,25)","hispanic","se_Lx_lost_mom",2566.29010343791
"[20,25)","hispanic","se_Lx_lost_dad",3922.34393349523
"[20,25)","hispanic","se_Lx_lost_both",0
"[20,25)","hispanic","se_Lx_lost_none",4608.58043240947
"[20,25)","hispanic","se_dx_lost_mom_to_dead",2.48084550234833
"[20,25)","hispanic","se_dx_lost_dad_to_dead",3.79174953487885
"[20,25)","hispanic","se_dx_lost_both_to_dead",0
"[20,25)","hispanic","se_dx_lost_none_to_dead",4.45513779702348
"[25,30)","hispanic","se_pr_lost_none",0.0133469613403038
"[25,30)","hispanic","se_pr_lost_mom",0.00737593717065859
"[25,30)","hispanic","se_pr_lost_dad",0.0111525314187078
"[25,30)","hispanic","se_pr_lost_both",0.00287627794601802
"[25,30)","hispanic","se_mx_lost_none_to_lost_mom",0.00737593717065859
"[25,30)","hispanic","se_mx_lost_none_to_lost_dad",0.0111525314187078
"[25,30)","hispanic","se_mx_lost_none_to_lost_both",0.00287627794601802
"[25,30)","hispanic","se_mx_lost_dad_to_lost_both",0.036663947685339
"[25,30)","hispanic","se_mx_lost_mom_to_lost_both",0.0879040055634308
"[25,30)","hispanic","se_Lx_lost_mom",3625.64560420581
"[25,30)","hispanic","se_Lx_lost_dad",5482.03239513152
"[25,30)","hispanic","se_Lx_lost_both",1413.83586250413
"[25,30)","hispanic","se_Lx_lost_none",6560.70552030701
