ind,race,x,state,mean,se_mean,sd,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,n_eff,Rhat
"1,4,2",hispanic,15,lost_mom,1418.6946269617952,3.826115121373153,150.3259627491313,1140.4808428006788,1181.9484931429997,1230.2493457979904,1315.6981804925729,1412.751498614591,1514.3301480340306,1615.5999444414583,1678.711882204225,1738.7687503216528,1543.660963323114,1.0013816769064043
"1,4,3",hispanic,15,lost_dad,3363.423272018648,5.220223906017607,329.41264857199525,2747.5092292337345,2850.505368808539,2965.1186649679485,3139.446069134133,3346.4631352376055,3572.0989784585327,3789.578813706352,3930.7257224810355,4068.6387424415047,3982.0093869278207,0.9996506112012062
"1,4,4",hispanic,15,lost_both,106.90117313577217,0.43267654699983,17.352327320748046,76.54067396597748,80.36191803685101,85.29303557882079,94.85686576878132,105.57528594019931,117.93282471298158,129.6272335458416,137.5014930271526,144.1530190818931,1608.3803266725138,1.0047974331261849
"1,5,1",hispanic,20,lost_none,90855.56949218591,7.727697527964396,516.7176665317443,89789.15071822163,89991.38383660385,90182.76611497946,90523.12862628305,90871.1900219149,91214.89233482572,91505.42893622769,91662.51934836512,91838.03445463203,4471.017716685044,0.9997290949473902
"1,5,2",hispanic,20,lost_mom,2204.5710650862916,5.368985280870924,215.03123954097876,1814.2372784608249,1864.922815386617,1937.3543287602001,2053.69785550852,2196.236602081687,2342.943508098834,2487.261358054428,2575.6088489269205,2645.37462756379,1604.0529123935078,1.0008319454804522
"1,5,3",hispanic,20,lost_dad,5231.489998532497,7.391237135159357,468.23037894767714,4360.688138935207,4499.953930296124,4657.051881647942,4908.470423705864,5208.285588674233,5534.205735301269,5831.05980132359,6040.17434849638,6222.621677389372,4013.1454720409265,0.9997008777255196
"1,5,4",hispanic,20,lost_both,261.30710124293466,0.9481845872371111,37.18284758093782,194.12916583703654,203.2186439438311,214.54672010814633,235.30708581198544,259.53285155434855,285.87606044353225,309.95017512882544,324.89176331456343,338.65175913776403,1537.7987713558182,1.0046063367523
"1,6,1",hispanic,25,lost_none,86549.98519819968,10.48004148456383,695.4310489752392,85116.29289836483,85367.63381427844,85643.84536114374,86102.9280739782,86569.25953809789,87028.43753531411,87415.45392500116,87647.40919411644,87852.20079040328,4403.33928580106,0.9997371279894653
"1,6,2",hispanic,25,lost_mom,3185.4306457218154,7.11014213617234,294.2820204839638,2633.66446231853,2714.868161077074,2818.1460001923215,2984.3335542402815,3170.324994959132,3372.660349641968,3571.084335508389,3697.537077982309,3800.2930493072267,1713.0533679615044,1.0009462499824868
"1,6,3",hispanic,25,lost_dad,7584.467183048346,9.800550267552609,626.0581862435647,6404.7787106480055,6604.6443752463065,6806.769688315722,7160.759040427656,7550.869158160243,7991.8466883420815,8379.294907855217,8655.268851624538,8893.455711392626,4080.641822252499,0.9995577229672659
"1,6,4",hispanic,25,lost_both,579.5400549311757,1.8317516166294245,73.85448370570411,445.7804910994904,464.18497624843513,486.3637728435282,527.9228910966328,577.2854917516283,626.5985398562235,675.3414002343297,706.3978495687198,734.1558819888069,1625.6257351117229,1.0043508192084891
"1,7,1",hispanic,30,lost_none,81095.41740499932,13.817385777071348,898.1032612498495,79224.30591380016,79560.39893745023,79936.81589148266,80526.03524332205,81117.42517316414,81681.67546884522,82223.05996232993,82537.62879326416,82821.32796138155,4224.747723499041,0.9997038687352746
"1,7,2",hispanic,30,lost_mom,4328.486581400574,9.385130406737593,392.3325665210907,3608.3830034976513,3706.330261265399,3844.6763331190987,4061.8475653673863,4306.638698999483,4581.364189453953,4842.6740221937525,5005.388835338174,5143.4185611747,1747.543904294898,1.0013188800305224
"1,7,3",hispanic,30,lost_dad,10466.033054046922,12.745254246400844,807.1038117016435,8951.916871837884,9180.522305855302,9448.8605155479,9925.484678259094,10443.52817821112,10968.207208488508,11518.781446059074,11832.208802888123,12114.82961369669,4010.1608245598527,0.9994400078685839
"1,7,4",hispanic,30,lost_both,1221.9356312141529,3.377297119911116,136.15789119700406,971.2803585614244,1006.2885803009904,1053.1971533491758,1125.8346913310402,1217.2240672281337,1310.5641994207394,1398.3854335034305,1458.6656839245293,1501.9954234272827,1625.3507411723647,1.0044497083626855
"1,8,1",hispanic,35,lost_none,74349.26503400956,17.266822625296978,1121.2387092097,72060.69038425494,72446.65756126659,72909.05457597705,73656.72050717594,74373.84839389459,75094.26726442268,75740.92566171195,76162.40847839085,76484.18503451784,4216.6864668706185,0.9997438566100483
"1,8,2",hispanic,35,lost_mom,5532.249335764536,11.547477141085759,514.256761636208,4561.268259407001,4716.793267235656,4889.597853335523,5185.801642110479,5511.5955669051145,5860.659028455912,6204.408416590783,6406.745451253819,6569.902801816438,1983.2880673783372,1.0016944702111104
"1,8,3",hispanic,35,lost_dad,13799.173260191108,16.489778011282095,1019.88844835266,11892.77567867133,12166.772193401264,12540.402065508355,13109.992213598445,13766.543731842812,14442.761970744594,15107.113460277367,15492.517600629588,15928.871143066543,3825.3900807418063,0.9995700529475888
"1,8,4",hispanic,35,lost_both,2452.533409041175,5.936985467736866,242.04365259475114,2002.782931550883,2064.924044725673,2147.8504765596253,2287.3686775238857,2444.5411941843486,2610.6057771373526,2767.1709737727942,2866.835397978967,2957.099260132077,1662.093397931654,1.0045271282316737
"1,9,1",hispanic,40,lost_none,66142.90680488505,19.238690134431447,1390.2580673414632,63290.64312143386,63814.8683325997,64358.11142057518,65249.71618899806,66178.64750614284,67061.98189712703,67883.09888188806,68357.70029560941,68816.79079403839,5222.035840081611,0.9996982305831571
"1,9,2",hispanic,40,lost_mom,6694.25197577356,13.095702286447889,671.8966696616417,5432.27957078089,5603.939889490959,5859.641598943381,6246.187667188528,6673.397877624199,7130.824220497736,7554.82882460835,7816.477469412944,8094.111559143587,2632.372772600796,1.0009756402522128
"1,9,3",hispanic,40,lost_dad,17395.521487157188,19.21009026461079,1267.278003707922,14977.867162500694,15367.538017260496,15820.628307582212,16553.738131061495,17342.615366977156,18208.946554615402,19039.169264618205,19539.32161785645,20038.25144939794,4351.96087787386,0.9997677115023026
"1,9,4",hispanic,40,lost_both,4636.244451056226,9.564705319691821,403.9306242997336,3881.118267269254,4001.0330192100437,4129.130141430481,4355.348066471249,4622.640985737109,4907.42095858831,5160.784190113572,5330.2771447430505,5453.028323875832,1783.4887445621825,1.0041763128054944
"1,10,1",hispanic,45,lost_none,56650.270997561194,23.303191324122217,1698.8099829234284,53231.27771406578,53818.466661098886,54487.689216911844,55582.31708457532,56670.03648809664,57779.674869120325,58799.396383646585,59417.85093086782,59906.3848015752,5314.455895125407,0.999937360314591
"1,10,2",hispanic,45,lost_mom,7574.09000422848,15.782632910391161,871.2572460183779,5847.379487533225,6178.644069070475,6471.063272346462,6991.542489252255,7559.470907544841,8140.350057529307,8699.171219267566,9005.655549455803,9299.442908991587,3047.4311002659797,1.0011517749158398
"1,10,3",hispanic,45,lost_dad,20600.652978031925,22.735919560057404,1570.4470658691178,17608.172222254503,18050.067573578297,18642.60585764448,19550.577822446823,20561.017970203953,21630.26066879485,22634.31147073157,23242.598989380607,23786.63557368539,4771.1333706866735,0.9998882781691886
"1,10,4",hispanic,45,lost_both,8258.223088481316,13.645325108435609,630.9983589656078,7097.920259849205,7253.169715032221,7454.744652189891,7823.649899424712,8240.626562447538,8679.422968318815,9069.457094105097,9316.333565425977,9539.997211544161,2138.3987142456504,1.003283877961355
"1,11,1",hispanic,50,lost_none,46579.261367668994,28.63234591318013,2085.4347032655282,42299.07895581386,43124.5576097974,43966.03452580305,45228.696458030085,46609.49561431164,47993.91399686831,49186.044636572005,49919.19682587989,50577.917354328834,5304.925974683575,0.999754239651863
