"race","sex","age","w","s_lost_none","s_lost_mom","s_lost_dad","s_lost_both","s_lost_none0","s_lost_mom0","s_lost_dad0","i_lost_none_to_lost_mom","i_lost_none_to_lost_dad","i_lost_dad_to_lost_both","i_lost_mom_to_lost_both","i_lost_none_to_lost_both"
"non-hispanic white","female",52,5690.2026974,0,1,0,0,1,1,0,1,0,0,0,0
"non-hispanic white","female",29,11482.782228,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",36,3783.1449726,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","female",33,3783.1449726,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",14,4706.8877408,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",3,5491.786192,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",74,4214.6516393,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic other","female",76,4214.6516393,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",22,9010.073038,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",3,13151.738156,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","female",76,4200.5213633,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",78,2605.4737752,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",55,4132.966854,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",61,4132.966854,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",19,10424.444414,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",30,3664.5789571,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",30,3664.5789571,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",66,4806.0310661,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",64,4806.0310661,0,1,0,0,1,1,0,1,0,0,0,0
"non-hispanic white","female",47,6305.8231096,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","female",77,2261.5186268,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",69,1996.3715097,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",31,6549.0802046,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",33,3855.7887099,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",32,3855.7887099,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",7,4480.7408939,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","female",5,5102.4218831,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","female",4,5408.1665714,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",2,4395.5376888,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",62,6799.4432804,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",48,6799.4432804,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","female",68,2659.4643039,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",69,10119.081647,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",67,5215.5442995,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","female",64,5215.5442995,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",84,5900.3091147,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",83,5900.3091147,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",36,6066.441584,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","female",33,6066.441584,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",60,4651.5845973,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",60,4651.5845973,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",90,4189.5224966,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",49,5041.0765689,0,1,0,0,1,1,0,1,0,0,0,0
"non-hispanic white","male",76,2897.4183333,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",25,3757.3293202,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",45,3340.6880105,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","female",61,2948.014211,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",64,2948.014211,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","male",40,5277.1480876,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",43,7249.7182126,0,1,0,0,1,1,0,1,0,0,0,0
"non-hispanic white","female",38,7249.7182126,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","female",19,8849.8013128,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",18,7558.2635202,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",13,8904.9776131,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",8,10048.883738,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",8,10048.883738,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",44,3036.0871673,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",16,3157.6718532,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",60,1736.3297195,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",65,1736.3297195,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",74,3343.4555911,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",43,2391.1383434,0,1,0,0,1,1,0,1,0,0,0,0
"non-hispanic white","female",40,2391.1383434,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","male",84,2292.3749702,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",55,3628.411053,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",54,3628.411053,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",31,3022.946688,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",54,4203.7381314,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",38,4556.5032783,0,1,0,0,1,1,0,1,0,0,0,0
"non-hispanic white","female",51,3547.6125384,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic other","male",49,3547.6125384,0,1,0,0,1,1,0,1,0,0,0,0
"non-hispanic other","female",18,4070.3617897,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",43,2790.850975,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",67,3452.7183411,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic other","female",57,3452.7183411,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",83,2109.5536643,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",48,3757.435338,0,1,0,0,1,1,0,1,0,0,0,0
"non-hispanic white","male",23,3179.8970962,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",18,3207.5772236,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",12,4434.9554176,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",10,4434.9554176,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",58,2112.272874,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",51,2112.272874,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",82,4265.0704889,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",47,2320.1756135,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic other","male",52,2320.1756135,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic other","male",20,2446.968599,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",64,1918.3547876,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic other","female",80,4200.5349446,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic asian","male",34,3314.3113525,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",63,4353.8450386,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",71,4353.8450386,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",23,7879.4252383,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",48,4997.2034043,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",9,7502.5257835,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",41,4011.7948348,0,1,0,0,1,1,0,1,0,0,0,0
"non-hispanic white","male",39,4011.7948348,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",20,4996.3682712,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",15,3987.3956562,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",11,6423.831962,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","male",44,4714.6377105,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","female",43,4714.6377105,0,0,1,0,1,0,1,0,1,0,0,0
"hispanic","male",20,4880.0417948,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","male",10,6011.5430643,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","male",8,6258.6684092,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",71,2945.2109221,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",67,2945.2109221,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic other","female",72,3242.3924556,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic other","female",31,4114.4932562,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",7,4818.5618142,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",14,6363.7085786,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",39,3427.4699291,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",79,4304.3419429,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",41,3229.8789795,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","female",9,5581.8860478,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","male",6,4519.3936837,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",66,3380.6450814,0,0,1,0,1,0,1,0,1,0,0,0
"hispanic","female",66,3380.6450814,0,1,0,0,1,1,0,1,0,0,0,0
"hispanic","male",90,3935.6645821,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",56,4608.8507445,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","male",49,4509.9253029,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","male",20,4704.1943817,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",43,5292.8053268,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",10,2901.7396524,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",64,3357.5044732,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",66,3357.5044732,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",51,10042.944405,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",60,2830.8026369,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",61,2830.8026369,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",33,5153.4567095,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",74,2917.1272746,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",41,5274.7396992,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",14,7235.8496416,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",12,6851.937331,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",15,6301.2895189,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",76,3153.504934,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",73,3153.504934,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",25,9390.2507285,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",25,4915.1915652,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","female",24,5557.5770859,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",48,8964.6630921,0,0,1,0,1,0,1,0,1,0,0,0
"hispanic","male",50,8964.6630921,0,1,0,0,1,1,0,1,0,0,0,0
"non-hispanic white","male",17,6595.2143558,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",14,8242.2802794,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",76,2901.2936654,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",88,5664.2277559,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",34,9688.2571271,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",41,3840.946607,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",41,3840.946607,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",14,4932.5800978,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","female",11,6458.6419757,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",64,2432.3810114,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",31,3386.880114,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",37,3386.880114,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",6,5907.9185881,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",5,4182.4954417,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",2,6834.4346148,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",59,6104.4317707,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","female",78,6497.1263998,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",73,2236.4215249,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",46,3157.5603357,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","female",65,3279.8199888,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","male",67,3279.8199888,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",61,3068.3546737,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",58,6667.7739352,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",55,9666.0443445,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",38,1930.9814388,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","male",19,1754.3270217,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",10,2262.9531645,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",19,2414.3548856,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",79,3695.4005963,0,0,0,1,1,1,1,0,0,1,1,1
"hispanic","female",37,3060.9198582,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","female",17,3040.076889,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","female",14,4846.266522,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","female",8,5511.3181578,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","female",2,6106.4529884,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",23,7115.2644557,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",35,3242.453408,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",30,3242.453408,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",3,5339.0350347,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",13,3578.439394,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",23,4750.8471861,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",21,6911.6209614,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",38,4431.3685391,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",40,5016.4435032,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",63,3805.0404229,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","male",50,4669.841814,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","male",56,6323.3407418,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",57,6323.3407418,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",31,8654.0695022,0,1,0,0,1,1,0,1,0,0,0,0
"non-hispanic white","male",35,7724.297918,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",70,5535.6358928,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",68,5535.6358928,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",56,3670.7537098,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",55,3670.7537098,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",14,3432.1542335,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",61,5169.6956226,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic other","male",63,5169.6956226,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic other","female",70,6840.5717939,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",76,4881.9881303,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",78,4011.9194749,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",64,6735.4659363,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",58,6735.4659363,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",65,4037.253165,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",66,4037.253165,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",26,12405.120399,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic black","female",26,12405.120399,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",71,4318.0498063,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","female",57,2916.3620796,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",61,2916.3620796,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",20,3095.9282363,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",40,3555.5452305,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",30,1726.5011655,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",29,1726.5011655,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",87,2555.2316643,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",55,2862.7196061,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","male",31,4888.2934735,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",6,3236.2640479,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",81,1996.3156479,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic other","male",29,9793.2865088,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",32,9793.2865088,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",10,4957.8840551,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",1,5488.3719125,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",40,2363.8503333,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",44,2404.7729547,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",78,2799.2416014,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",74,2799.2416014,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",70,4197.6104664,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",68,4197.6104664,0,0,0,1,1,1,1,0,0,1,1,1
