ind,race,x,state,mean,se_mean,sd,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,n_eff,Rhat,svy_mean,svy_se
"1,11,4",hispanic,50,lost_both,0.24409862149781636,2.534270306886501e-4,0.019197369080496192,0.20648468244959983,0.21252905764447438,0.21982313078340499,0.23107064974947028,0.2442563605413916,0.25699762756930306,0.26903319436669526,0.2760554587280613,0.28169356501931403,5738.224808748798,0.9997717944951178,0.24424128260861,0.0108783548678758
"1,12,1",hispanic,55,lost_none,0.21828665479647913,1.8304914630544805e-4,0.014043817975815057,0.19074741621981461,0.19553107284666887,0.20049796610732912,0.20868341555031938,0.21824390385863063,0.2276492336749713,0.23649902612490822,0.24184813358262913,0.24630684831992064,5886.199373763891,0.9999572078337283,0.218293326535474,0.0138716863510254
"1,12,2",hispanic,55,lost_mom,0.10270604180873284,1.1635924728854465e-4,0.00881683226911889,0.08519985938793286,0.08813802352009645,0.09131127836282495,0.09688173934471256,0.10259242371048469,0.10853445010237882,0.11401944796385349,0.1174000925379934,0.12002116171705875,5741.473324258233,0.9995108900635546,0.102748309246645,0.00878366779260866
"1,12,3",hispanic,55,lost_dad,0.3174563053339851,1.6718627389352225e-4,0.013143153871327102,0.2920353688690677,0.2958486746059476,0.3007098011645714,0.3085456901330822,0.31767788798243446,0.3264247957666876,0.3342914960109918,0.33911745856232356,0.34308375421878445,6180.134791211326,0.9998596872449809,0.317395841196004,0.0130765808037893
"1,12,4",hispanic,55,lost_both,0.361550998060803,2.713126174553513e-4,0.021244534631979194,0.32013640604159826,0.325907592821616,0.3338432450514834,0.3468299819457889,0.3620248326170542,0.3763439619666595,0.38855505540752733,0.39596752833492216,0.40202542836550653,6131.326761908661,0.9995000324892791,0.361562523021868,0.0149262326764375
"1,13,1",hispanic,60,lost_none,0.07979849960922931,1.298910466378155e-4,0.009756504753460194,0.06079771202440883,0.06365230614641669,0.06721298372882821,0.07326089936342882,0.07977869462729933,0.0863256586816244,0.09228933476044195,0.09588362544963187,0.09868934644604589,5641.961112067718,0.9995530335240237,0.0797830153977814,0.00995924427003543
"1,13,2",hispanic,60,lost_mom,0.06366705662278054,9.511538849100529e-5,0.007426165870913432,0.04882084012147004,0.051395127191370314,0.054087905657327684,0.058657073409574524,0.06365826667775606,0.06871141320840872,0.0731073631307839,0.07586683690175171,0.0780713720441316,6095.758018798285,1.000182951469608,0.0636085575424591,0.00749399112645908
"1,13,3",hispanic,60,lost_dad,0.1858999935718592,1.4965624146382278e-4,0.011701613450991669,0.16295100982233382,0.16678655263773132,0.17081455944088508,0.17800361069520287,0.18600856702992363,0.19380207283259,0.20089317279700308,0.2051609790658394,0.20855736791216134,6113.66766841118,1.0001639354127068,0.185842725008421,0.0115828810321346
"1,13,4",hispanic,60,lost_both,0.670634450196131,2.1726425489603207e-4,0.016834257886027545,0.637855666247633,0.6430386829970625,0.6490841260442148,0.6592303127835275,0.6705254175111384,0.6821122509151432,0.6923862932025034,0.6984010927588457,0.7034159390116578,6003.595049480277,0.9997267948000372,0.670765702051336,0.0165702924346519
"2,1,1",non-hispanic black,0,lost_none,0.9909106180682702,1.634696091700953e-5,0.0012741729735864632,0.9884727366682884,0.9888432754416756,0.989266357540514,0.9900364152957433,0.9908978820365899,0.9917813263364966,0.992530922877023,0.9930138612589718,0.9934286919552267,6075.509852730402,0.9997610057416647,0.990931613970193,0.00128007164305004
