ind,race,x,transition,mean,se_mean,sd,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,n_eff,Rhat,svy_mean,svy_se
"1,7,5",hispanic,30,lost_dad_to_lost_both,0.009029289638313804,2.5184675066582242e-5,0.0012378523633113567,0.006816819872567082,0.007108513073431092,0.0074897932077819486,0.008161502594760577,0.00895673654541342,0.009828951461208886,0.010650711499003221,0.011185283442201124,0.011646998253975499,2415.8223588397705,1.000633040392414,0.00872346556158397,0.00230163504516388
"1,8,1",hispanic,35,lost_none_to_lost_mom,0.0070480375853697345,1.1131415391564103e-5,8.100251193961088e-4,0.0056404311514384005,0.0058125918756374365,0.006060603685382614,0.0064834750617667756,0.006989823319921424,0.007548116267588727,0.008106192652064094,0.00849712085929562,0.008835017282266029,5295.368582024986,0.9997664959204183,0.00639591725673568,7.7247289577665e-4
"1,8,2",hispanic,35,lost_none_to_lost_dad,0.014941195054027094,2.0996977258833146e-5,0.0016394686667099785,0.011978844547853019,0.012405458654932497,0.012944961814950941,0.013821567457632645,0.014856491321701772,0.01597693289936283,0.01703625365091958,0.01771477520401715,0.018390471414993097,6096.669970388546,0.9999648557456482,0.0162091658863335,0.00131550644654523
"1,8,3",hispanic,35,lost_none_to_lost_both,4.333489280665029e-4,2.3180367721339816e-6,9.57954768040037e-5,2.520558961481061e-4,2.831337826982884e-4,3.1542747345640425e-4,3.692611841613074e-4,4.311026147684915e-4,4.937881846354258e-4,5.565311577673287e-4,5.938854460863113e-4,6.27516845812901e-4,1707.8485862716332,1.001324026276541,4.3451093409004e-4,1.9056044208673e-4
"1,8,4",hispanic,35,lost_mom_to_lost_both,0.030578594379737714,8.136760701104707e-5,0.0040223300192745405,0.023300266388386448,0.024454502367303888,0.02556886684293881,0.027810161488013043,0.03038374118102103,0.033057884149476,0.035726796181707154,0.03747358697728642,0.03937644629965702,2443.7248934567615,1.0033231090526133,0.0324378152520625,0.00590749737320352
"1,8,5",hispanic,35,lost_dad_to_lost_both,0.01310540629616824,3.062955404814303e-5,0.001672108344504236,0.010120494232507007,0.0105122699636212,0.011055183269988314,0.011928710128604228,0.013024357576958207,0.0141646691260103,0.01523316664796989,0.016009138486385924,0.01664579358947285,2980.2142084162,1.00033254452532,0.0136853636231021,0.0022734392995378
"1,9,1",hispanic,40,lost_none_to_lost_mom,0.00978938962939473,1.619278218164965e-5,0.0011393025909161127,0.007624262974809817,0.007979059678419494,0.008386274606788167,0.009003174580896466,0.00973706577809036,0.010522990629182534,0.011278867416785321,0.011733670422883164,0.012127284385889465,4950.342209670551,1.0001238325240502,0.00972157452406793,0.0011367558694523
"1,9,2",hispanic,40,lost_none_to_lost_dad,0.02046363527441046,3.130171943923131e-5,0.002272641593265622,0.0162983422740096,0.016937539856500424,0.017670642777489646,0.018913662306158794,0.020317418415813193,0.021916613053276975,0.023418020105187995,0.0244100015085118,0.02524650282337322,5271.394419993929,1.000183655617267,0.0194351227827002,0.00193868853311334
"1,9,3",hispanic,40,lost_none_to_lost_both,6.648351666054829e-4,4.287471525048957e-6,1.6699905738924714e-4,3.5295154911148155e-4,4.0122368128620814e-4,4.5587330055442665e-4,5.522770401112703e-4,6.612999612595037e-4,7.694218330556104e-4,8.787620420304972e-4,9.478860479788302e-4,0.0010066430573270721,1517.1395924756728,1.0003112676880694,3.532910404979e-4,1.9277722761e-4
"1,9,4",hispanic,40,lost_mom_to_lost_both,0.04047805691341611,8.392757604545339e-5,0.004999775847493238,0.031450639527909906,0.03281751092609166,0.03432595365228846,0.03699261570084997,0.040258698782482644,0.043610960121671774,0.046850916347365636,0.04896745124538457,0.05104907303240021,3548.883215532213,1.0011517610642688,0.0436346567405824,0.00638453735937805
