"race","x","name","value"
"all","[35,40)","lx_lost_both",765.826242624633
"all","[35,40)","lx_lost_none",85971.26269863
"all","[40,45)","lx",95793.65625
"all","[40,45)","dx",1322.72906494141
"all","[40,45)","Lx",475798.9765625
"all","[40,45)","pr_lost_none",0.716591329229867
"all","[40,45)","pr_lost_mom",0.0647061895064782
"all","[40,45)","pr_lost_dad",0.177697531641411
"all","[40,45)","pr_lost_both",0.0410049496222432
"all","[40,45)","mx_lost_none_to_lost_mom",0.00388816175581324
"all","[40,45)","mx_lost_none_to_lost_dad",0.0106585309554438
"all","[40,45)","mx_lost_none_to_lost_both",0
"all","[40,45)","mx_lost_dad_to_lost_both",0.00859747004871906
"all","[40,45)","mx_lost_mom_to_lost_both",0.0354456780175457
"all","[40,45)","Lx_lost_mom",30787.1387444415
"all","[40,45)","Lx_lost_dad",84548.3036926659
"all","[40,45)","Lx_lost_both",19510.1130642602
"all","[40,45)","Lx_lost_none",340953.421061132
"all","[40,45)","dx_lost_mom_to_dead",85.5887575418253
"all","[40,45)","dx_lost_dad_to_dead",235.04568987044
"all","[40,45)","dx_lost_both_to_dead",54.2384386717992
"all","[40,45)","dx_lost_none_to_dead",947.856178857341
"all","[40,45)","dx_lost_none_to_lost_mom",1321.99663413894
"all","[40,45)","dx_lost_none_to_lost_dad",3623.95983832087
"all","[40,45)","dx_lost_none_to_lost_both",0
"all","[40,45)","dx_lost_mom_to_lost_both",1088.23725547523
"all","[40,45)","dx_lost_dad_to_lost_both",724.880710388956
"all","[40,45)","ex_lost_none",10.1434479470155
"all","[40,45)","ex_lost_mom",2.36978664020381
"all","[40,45)","ex_lost_dad",7.325520257651
"all","[40,45)","ex_lost_both",19.4268089783066
"all","[40,45)","ex",39.2655638231769
"all","[40,45)","lx_lost_mom",4353.17995930006
"all","[40,45)","lx_lost_dad",11647.9663857797
"all","[40,45)","lx_lost_both",1747.33044421295
"all","[40,45)","lx_lost_none",78045.2027990252
"all","[45,50)","lx",94470.9296875
"all","[45,50)","dx",1790.44799804688
"all","[45,50)","Lx",468118.96875
"all","[45,50)","pr_lost_none",0.579910646921331
"all","[45,50)","pr_lost_mom",0.0903598042748713
"all","[45,50)","pr_lost_dad",0.236765375417956
"all","[45,50)","pr_lost_both",0.0929641733858419
"all","[45,50)","mx_lost_none_to_lost_mom",0.0100051782930475
"all","[45,50)","mx_lost_none_to_lost_dad",0.0193033208558368
"all","[45,50)","mx_lost_none_to_lost_both",0.000776838833416863
"all","[45,50)","mx_lost_dad_to_lost_both",0.0317194665327409
"all","[45,50)","mx_lost_mom_to_lost_both",0.0252390872805893
"all","[45,50)","Lx_lost_mom",42299.1383936046
"all","[45,50)","Lx_lost_dad",110834.36337636
"all","[45,50)","Lx_lost_both",43518.2929760765
"all","[45,50)","Lx_lost_none",271467.174003959
"all","[45,50)","dx_lost_mom_to_dead",161.784530667851
"all","[45,50)","dx_lost_dad_to_dead",423.916092423897
"all","[45,50)","dx_lost_both_to_dead",166.447518128763
"all","[45,50)","dx_lost_none_to_dead",1038.29985682637
"all","[45,50)","dx_lost_none_to_lost_mom",2705.68910143016
"all","[45,50)","dx_lost_none_to_lost_dad",5220.1753263448
"all","[45,50)","dx_lost_none_to_lost_both",210.079651114694
"all","[45,50)","dx_lost_mom_to_lost_both",1063.50835191974
"all","[45,50)","dx_lost_dad_to_lost_both",3502.16048748778
"all","[45,50)","ex_lost_none",6.67638761311456
"all","[45,50)","ex_lost_mom",2.07707692410958
"all","[45,50)","ex_lost_dad",6.53312154080378
"all","[45,50)","ex_lost_both",19.4922920133146
