"sex","race","x","name","value"
"all","all","[7,8)","se_Lx_lost_mom",363.215740113296
"all","all","[7,8)","se_Lx_lost_dad",215.679473780117
"all","all","[7,8)","se_Lx_lost_both",0
"all","all","[7,8)","se_Lx_lost_none",414.642652611177
"all","all","[7,8)","se_dx_lost_mom_to_dead",0.0394687361857214
"all","all","[7,8)","se_dx_lost_dad_to_dead",0.0234367493232737
"all","all","[7,8)","se_dx_lost_both_to_dead",0
"all","all","[7,8)","se_dx_lost_none_to_dead",0.0450570271600936
"all","all","[8,9)","se_pr_lost_none",0.00536485882339186
"all","all","[8,9)","se_pr_lost_mom",0.00286504423578725
"all","all","[8,9)","se_pr_lost_dad",0.00308030335181761
"all","all","[8,9)","se_pr_lost_both",0.00328587922032641
"all","all","[8,9)","se_mx_lost_none_to_lost_mom",0
"all","all","[8,9)","se_mx_lost_none_to_lost_dad",0.00220129413439592
"all","all","[8,9)","se_mx_lost_none_to_lost_both",0
"all","all","[8,9)","se_mx_lost_dad_to_lost_both",0.172275709351233
"all","all","[8,9)","se_mx_lost_mom_to_lost_both",0
"all","all","[8,9)","se_Lx_lost_mom",284.605615511457
"all","all","[8,9)","se_Lx_lost_dad",305.988864135344
"all","all","[8,9)","se_Lx_lost_both",326.41020557937
"all","all","[8,9)","se_Lx_lost_none",532.930322153983
"all","all","[8,9)","se_dx_lost_mom_to_dead",0.0284667048274697
"all","all","[8,9)","se_dx_lost_dad_to_dead",0.0306054912520969
"all","all","[8,9)","se_dx_lost_both_to_dead",0.0326480661957548
"all","all","[8,9)","se_dx_lost_none_to_dead",0.0533045356364552
"all","all","[9,10)","se_pr_lost_none",0.00387566168458037
"all","all","[9,10)","se_pr_lost_mom",0.00168145218158165
"all","all","[9,10)","se_pr_lost_dad",0.00342966987911918
"all","all","[9,10)","se_pr_lost_both",0
"all","all","[9,10)","se_mx_lost_none_to_lost_mom",0
"all","all","[9,10)","se_mx_lost_none_to_lost_dad",0
"all","all","[9,10)","se_mx_lost_none_to_lost_both",0
"all","all","[9,10)","se_mx_lost_dad_to_lost_both",0
"all","all","[9,10)","se_mx_lost_mom_to_lost_both",0
"all","all","[9,10)","se_Lx_lost_mom",167.014756838336
"all","all","[9,10)","se_Lx_lost_dad",340.661177981313
"all","all","[9,10)","se_Lx_lost_both",0
"all","all","[9,10)","se_Lx_lost_none",384.960512661722
"all","all","[9,10)","se_dx_lost_mom_to_dead",0.0154460151559719
"all","all","[9,10)","se_dx_lost_dad_to_dead",0.0315053461009071
"all","all","[9,10)","se_dx_lost_both_to_dead",0
"all","all","[9,10)","se_dx_lost_none_to_dead",0.035602278658402
"all","all","[10,11)","se_pr_lost_none",0.00486852091317526
"all","all","[10,11)","se_pr_lost_mom",0.00189436783983983
"all","all","[10,11)","se_pr_lost_dad",0.00517184593702598
"all","all","[10,11)","se_pr_lost_both",0
"all","all","[10,11)","se_mx_lost_none_to_lost_mom",0
"all","all","[10,11)","se_mx_lost_none_to_lost_dad",0.00120542713198614
"all","all","[10,11)","se_mx_lost_none_to_lost_both",0
"all","all","[10,11)","se_mx_lost_dad_to_lost_both",0
"all","all","[10,11)","se_mx_lost_mom_to_lost_both",0
"all","all","[10,11)","se_Lx_lost_mom",188.145920298619
"all","all","[10,11)","se_Lx_lost_dad",513.660384746979
"all","all","[10,11)","se_Lx_lost_both",0
"all","all","[10,11)","se_Lx_lost_none",483.534574668394
"all","all","[10,11)","se_dx_lost_mom_to_dead",0.0171058448038703
"all","all","[10,11)","se_dx_lost_dad_to_dead",0.0467009585402241
"all","all","[10,11)","se_dx_lost_both_to_dead",0
"all","all","[10,11)","se_dx_lost_none_to_dead",0.0439619810966673
"all","all","[11,12)","se_pr_lost_none",0.00719831001718279
"all","all","[11,12)","se_pr_lost_mom",0.00180202092418311
"all","all","[11,12)","se_pr_lost_dad",0.0067173901513524
"all","all","[11,12)","se_pr_lost_both",0.00149081192266389
"all","all","[11,12)","se_mx_lost_none_to_lost_mom",0
"all","all","[11,12)","se_mx_lost_none_to_lost_dad",0
"all","all","[11,12)","se_mx_lost_none_to_lost_both",0
"all","all","[11,12)","se_mx_lost_dad_to_lost_both",0.051256541658548
"all","all","[11,12)","se_mx_lost_mom_to_lost_both",0
"all","all","[11,12)","se_Lx_lost_mom",178.956783333392
"all","all","[11,12)","se_Lx_lost_dad",667.096878703771
"all","all","[11,12)","se_Lx_lost_both",148.050948052083
"all","all","[11,12)","se_Lx_lost_none",714.85651960203
"all","all","[11,12)","se_dx_lost_mom_to_dead",0.0184573356306234
"all","all","[11,12)","se_dx_lost_dad_to_dead",0.0688033767652063
"all","all","[11,12)","se_dx_lost_both_to_dead",0.0152697538910188
"all","all","[11,12)","se_dx_lost_none_to_dead",0.0737292348703722
"all","all","[12,13)","se_pr_lost_none",0.00761115288890928
"all","all","[12,13)","se_pr_lost_mom",0.00383279128862164
"all","all","[12,13)","se_pr_lost_dad",0.00627921007877231
"all","all","[12,13)","se_pr_lost_both",0
"all","all","[12,13)","se_mx_lost_none_to_lost_mom",0
"all","all","[12,13)","se_mx_lost_none_to_lost_dad",0.00495793749333561
"all","all","[12,13)","se_mx_lost_none_to_lost_both",0
"all","all","[12,13)","se_mx_lost_dad_to_lost_both",0
"all","all","[12,13)","se_mx_lost_mom_to_lost_both",0
"all","all","[12,13)","se_Lx_lost_mom",380.584526867853
"all","all","[12,13)","se_Lx_lost_dad",623.506477910211
"all","all","[12,13)","se_Lx_lost_both",0
"all","all","[12,13)","se_Lx_lost_none",755.764351099365
"all","all","[12,13)","se_dx_lost_mom_to_dead",0.0525669122147793
"all","all","[12,13)","se_dx_lost_dad_to_dead",0.0861196606162413
"all","all","[12,13)","se_dx_lost_both_to_dead",0
"all","all","[12,13)","se_dx_lost_none_to_dead",0.104387318702251
"all","all","[13,14)","se_pr_lost_none",0.00731094054243849
"all","all","[13,14)","se_pr_lost_mom",0.00344962900125195
"all","all","[13,14)","se_pr_lost_dad",0.00646729774636067
"all","all","[13,14)","se_pr_lost_both",0
"all","all","[13,14)","se_mx_lost_none_to_lost_mom",0
"all","all","[13,14)","se_mx_lost_none_to_lost_dad",0.0020216206261036
"all","all","[13,14)","se_mx_lost_none_to_lost_both",0
"all","all","[13,14)","se_mx_lost_dad_to_lost_both",0
"all","all","[13,14)","se_mx_lost_mom_to_lost_both",0
"all","all","[13,14)","se_Lx_lost_mom",342.479544547465
"all","all","[13,14)","se_Lx_lost_dad",642.074027619378
"all","all","[13,14)","se_Lx_lost_both",0
"all","all","[13,14)","se_Lx_lost_none",725.830976687415
"all","all","[13,14)","se_dx_lost_mom_to_dead",0.0689258755824144
"all","all","[13,14)","se_dx_lost_dad_to_dead",0.129220898728039
"all","all","[13,14)","se_dx_lost_both_to_dead",0
"all","all","[13,14)","se_dx_lost_none_to_dead",0.14607744138157
"all","all","[14,15)","se_pr_lost_none",0.00868557383772914
"all","all","[14,15)","se_pr_lost_mom",0.005004885387984
"all","all","[14,15)","se_pr_lost_dad",0.00703622981324522
"all","all","[14,15)","se_pr_lost_both",0
"all","all","[14,15)","se_mx_lost_none_to_lost_mom",0
"all","all","[14,15)","se_mx_lost_none_to_lost_dad",0
"all","all","[14,15)","se_mx_lost_none_to_lost_both",0
"all","all","[14,15)","se_mx_lost_dad_to_lost_both",0
"all","all","[14,15)","se_mx_lost_mom_to_lost_both",0
"all","all","[14,15)","se_Lx_lost_mom",496.764278459067
"all","all","[14,15)","se_Lx_lost_dad",698.387146814741
"all","all","[14,15)","se_Lx_lost_both",0
"all","all","[14,15)","se_Lx_lost_none",862.094231140914
"all","all","[14,15)","se_dx_lost_mom_to_dead",0.142563666936276
"all","all","[14,15)","se_dx_lost_dad_to_dead",0.200426312656612
"all","all","[14,15)","se_dx_lost_both_to_dead",0
"all","all","[14,15)","se_dx_lost_none_to_dead",0.247407714615264
"all","all","[15,16)","se_pr_lost_none",0.0073103261512056
"all","all","[15,16)","se_pr_lost_mom",0.00215801158307977
"all","all","[15,16)","se_pr_lost_dad",0.00675193016946362
"all","all","[15,16)","se_pr_lost_both",0.00155073349121356
"all","all","[15,16)","se_mx_lost_none_to_lost_mom",0
"all","all","[15,16)","se_mx_lost_none_to_lost_dad",0.002303806533476
"all","all","[15,16)","se_mx_lost_none_to_lost_both",0
"all","all","[15,16)","se_mx_lost_dad_to_lost_both",0
"all","all","[15,16)","se_mx_lost_mom_to_lost_both",0
"all","all","[15,16)","se_Lx_lost_mom",214.123641491443
"all","all","[15,16)","se_Lx_lost_dad",669.944446228693
"all","all","[15,16)","se_Lx_lost_both",153.867896134046
"all","all","[15,16)","se_Lx_lost_none",725.349978776458
"all","all","[15,16)","se_dx_lost_mom_to_dead",0.0819121823299913
"all","all","[15,16)","se_dx_lost_dad_to_dead",0.256284692564613
"all","all","[15,16)","se_dx_lost_both_to_dead",0.0588615767744068
"all","all","[15,16)","se_dx_lost_none_to_dead",0.27747986770983
"all","all","[16,17)","se_pr_lost_none",0.00783884229033526
"all","all","[16,17)","se_pr_lost_mom",0.00474259546484609
"all","all","[16,17)","se_pr_lost_dad",0.00598223092899401
"all","all","[16,17)","se_pr_lost_both",0.00160688267172881
"all","all","[16,17)","se_mx_lost_none_to_lost_mom",0
"all","all","[16,17)","se_mx_lost_none_to_lost_dad",0.00216960569517632
"all","all","[16,17)","se_mx_lost_none_to_lost_both",0
"all","all","[16,17)","se_mx_lost_dad_to_lost_both",0
"all","all","[16,17)","se_mx_lost_mom_to_lost_both",0
"all","all","[16,17)","se_Lx_lost_mom",470.369951275948
"all","all","[16,17)","se_Lx_lost_dad",593.316822286402
